rebel_type			Brigantes	//Britons
category			peasant_revolt
chance				0					
description			Brigantes
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb chariot heavy slave
unit				barb chariot heavy slave
unit				barbarian rebel general

rebel_type			Trinovantes	//Britons
category			peasant_revolt
chance				0					
description			Trinovantes
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb chariot heavy slave
unit				barb druids slave
unit				barbarian rebel general

rebel_type 			Suebi		//Germans
category			peasant_revolt
chance				3					
description			Suebi
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barb naked fanatics slave
unit				barb cavalry slave
unit				barbarian rebel general
					
rebel_type 			Saxones		//Germans
category			peasant_revolt
chance				3					
description			Saxones
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general
					
rebel_type 			Gepids		//Germans
category			peasant_revolt
chance				3					
description			Gepids
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barb cavalry slave
unit				barbarian rebel general
					
rebel_type 			Amazons		//Scythians
category			peasant_revolt 
chance				6					
description			Amazons
unit				rebel amazon chariots						
unit				eastern rebel general
					
rebel_type 			Saka		// Scythians
category			peasant_revolt 
chance				0					
description			Saka
unit				east peasant
unit				east horse archer
unit				east horse archer
unit				eastern rebel general
					
rebel_type 			Hibernians	//Britons
category			peasant_revolt 
chance				0					
description			Hibernians
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb chariot heavy slave
unit				barb druids slave
unit				barbarian rebel general
					
rebel_type 			Alans		//Scythians
category			peasant_revolt 
chance				0					
description			Alans
unit				barb peasant slave
unit				barb archer slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb horse archers slave
unit				barb horse archers slave
unit				barbarian rebel general
					
rebel_type 			Silures		//Britons
category			peasant_revolt 
chance				6					
description			Silures	
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb chariot heavy slave
unit				barb druids slave
unit				barbarian rebel general
					
rebel_type 			Goths		//Germans
category			peasant_revolt 
chance				3					
description			Goths
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb naked fanatics slave
unit				barb cavalry slave
unit				barbarian rebel general
					
rebel_type 			Sarmatians	//Scythians
category			peasant_revolt 
chance				0					
description			Sarmatians
unit				barb peasant slave
unit				barb archer slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb horse archers slave
unit				barb horse archers slave
unit				barbarian rebel general
					
rebel_type 			Iceni		//Britons
category			peasant_revolt 
chance				6					
description			Iceni	
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb chariot heavy slave
unit				barb chariot heavy slave
unit				barb druids slave
unit				barbarian rebel general
					
rebel_type 			Batavi		//Germans
category			peasant_revolt 
chance				3					
description			Batavi	
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb naked fanatics slave
unit				barbarian rebel general
					
rebel_type 			Chatti		//Germans
category			peasant_revolt 
chance				3					
description			Chatti
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb naked fanatics slave
unit				barb naked fanatics slave
unit				barb naked fanatics slave
unit				barb cavalry slave
unit				barbarian rebel general
					
rebel_type 			Venedae		//dacians
category			peasant_revolt 
chance				0					
description			Venedae
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb archer slave
unit				barb archer slave
unit				barbarian rebel general
					
rebel_type 			Marcomanni	//germans
category			peasant_revolt 
chance				3					
description			Marcomanni
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb naked fanatics slave
unit				barbarian rebel general
					
rebel_type 			Belgae		//Britons
category			peasant_revolt 
chance				0					
description			Belgae
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barb naked fanatics slave
unit				barb naked fanatics slave
unit				barb druids slave
unit				barbarian rebel general
					
rebel_type 			Maeotae 	//Scythians
category			peasant_revolt 
chance				3					
description			Maeotae
unit				barb peasant slave
unit				barb archer slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb horse archers slave
unit				barb horse archers slave
unit				barbarian rebel general
					
rebel_type 			Alamanni	//germans
category			peasant_revolt 
chance				3					
description			Alamanni
unit				barb peasant slave
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Carnutes		//gauls
category			peasant_revolt 
chance				0					
description			Carnutes
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb noble cavalry slave
unit				barb noble cavalry slave
unit				barb druids slave
unit				barb naked fanatics slave
