¬ Text file converted with loc_parser
{baggage_train}				Baggage Train Cart
{cavalry_barracks}			Cavalry Stables
{eastern_cavalry_barracks}			Cavalry Stables
{eastern_hippodrome}			Elite Cavalry Stables
{egyptian_cavalry_barracks}		Cavalry Stables
{egyptian_governors_palace}		Governor's Palace
{egyptian_hippodrome}			Elite Cavalry Stables
{egyptian_shrine}				Shrine
{egyptian_temple}				Temple
{forum}					Forum
{great_forum}				Great Forum
{greek_governors_palace}			Governor's Palace
{greek_large_marketplace}			Agora
{greek_marketplace}			Market
{greek_merchants_quarter}			Merchants' Quarter
{greek_pro-consuls_palace}			Councillor's Chambers
{pantheon}				Pantheon
{plaza}					Plaza
{ambient}				Building
{roman_blacksmith}			Blacksmith
{roman_governors_palace}			Governor's Palace
{roman_marketplace}			Market
{roman_pro-consuls_palace}		Pro-Consul's Palace
{roman_trader}				Trader
{shrine}					Shrine
{stables}					Stables
{trader}					Trader
{hall_large}				Large Hall
{lith}					Lith
{long_house}				Long House
{park_building}				Outbuilding
{hut}					Hut
{watchtower}				Watchtower
{tent}					Tent
{henge}					Henge
{paddock}				Paddock
{standing_stones}				Standing Stones
{marketplace}				Market
{smiths_workshop}			Smith's Workshop
{warlords_hold}				Warlord's Hold
{sacred_grove}				Sacred Grove
{sacred_circle}				Sacred Circle
{warriors_hold}				Warrior's Hold
{high_kings_hall}				High King's Hall
{drinking_hall}				Drinking Hall
{mead_hall}				Mead Hall
{hall_of_heroes}				Hall of Heroes
{warlords_stable}				Warlord's Stable
{great_market}				Great Market
{sacred_archway}				Sacred Archway
{eastern_blacksmith}			Blacksmith
{eastern_governors_palace}			Governor's Palace
{eastern_governors_villa}			Governor's Villa
{eastern_imperial_palace}			Royal Palace
{eastern_pro-consuls_palace}		Councillor's Chambers
{eastern_shrine}				Shrine
{eastern_temple}				Temple
{eastern_workshop}			Workshop
{egyptian_eastern_merchants_quarter}	Merchants' Quarter
{egyptian_shrine}				Shrine
{large_temple}				Large Temple
{councillor's_chambers}			Councillor's Chambers
{awesome_temple}			Awesome Temple
{governor's_house}			Governor's House
{tree}					Tree
{vegetation}				Vegetation
{theatre}				Theatre
{temple}					Temple
{royal_palace}				Royal Palace
{dockyard}				Dockyard
{ancient_obelisk}				Obelisk
{practice_range}				Practice Range
{archery_range}				Archery Range
{catapult_range}				Catapult Range
{siege_engineer}				Siege Engineer
{academy}				Academy
{city_barracks}				City Barracks
{ludus_magna}				Ludus Magna
{militia_barracks}				Militia Barracks
{scriptorium}				Scriptorium
{camel_stables}				Camel Stables
{governor's_villa}				Governor's Villa
{pharoah's_palace}			Pharoah's Palace
{bazaar}					Bazaar
{tomb}					Tomb
{huge_city}				Huge City
{pyramid}				Pyramid
{governor's_house}			Governor's House
{elite_cavalry_stables}			Elite Cavalry Stables
{ruined_temple}				Ruined Temple
{bath_house}				Public Baths
{circus_maximus}				Circus Maximus
{colosseum}				Colosseum
{large_city}				Large City
{hippodrome}				Hippodrome
{barracks}				Barracks
{country_villa}				Country Villa
{farm}					Farm
{governor's_house}			Governor's House
{imperial_palace}				Imperial Palace
{sarcophagus}				Sarcophagus
{arena}					Arena
{amphitheatre}				Amphitheatre
{onager}					Onager
{siege_tower}				Siege Tower
{ballista}					Ballista
{sphinx}					Sphinx
{great_sphinx}				The Great Sphinx
{temple_of_zeus}				The Temple of Zeus at Olympia
{temple_to_artemis}			The Temple of Artemis at Ephesus
{mausoleum}				The Mausoleum at Halicarnassus
{pharos}					The Pharos at Alexandria
{colossus}				The Colossus of Rhodes
{hanging_gardens}				The Hanging Gardens of Babylon
{construction_site}			Construction Site
{wall}					Wall
{road}					Road


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 30/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{none}					none
{wagon}					Wagon
{statue}					Statue	
{triumphal_column}			Triumphal Column
{triumphal_arch}				Triumphal Arch



¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{sewers}				Sewers
{baths}					Baths
{execution_square}			Execution Square
{secret_police_hq}			Secret Police HQ
