¬ Text file converted with loc_parser
{Otadinoi}					Otadinoi Rebels
{Saxones}					Saxone Rebels
{Goths}					Goth Rebels
{Caucasians}					Caucasian Rebels
{Scythians}					Scythian Rebels
{Hibernians}					Hibernian Rebels
{Sarmatians}					Sarmatian Rebels
{Brigantes}					Brigante Rebels
{Rugii}					Rugii Rebels
{Roxolani}					Roxolani Rebels
{Iceni}					Iceni Rebels
{Ubii}					Ubii Rebels
{Chatti}					Chatti Rebels
{Marcomanni}					Marcomanni Rebels
{Nervii}					Nervii Rebels
{Nemetes}					Nemetes Rebels
{Curiosolites}					Curiosolites Rebels
{Sequani}					Sequani Rebels
{Boii}					Boii Rebels
{Thracians}					Thracian Rebels
{Scordisci}					Scordisci Rebels
{Carnutes}					Carnutes Rebels
{Vandals}					Vandal Rebels
{Alaunoii}					Alaunoii Rebels
{Greeks}					Greek Rebels
{Troglodytae}					Troglodytae Rebels
{Arabiates}					Arabiates Rebels
{Petrocori}					Petrocori Rebels
{Vellavi}					Vellavi Rebels
{Brouchoi}					Brouchoi Rebels
{Parthians}					Parthian Rebels
{Helvetii}					Helvetii Rebels
{Dripsinates}					Dripsinates Rebels
{Volcae_Arecomici}					Volcae Arecomici Rebels
{Breuci}					Breuci Rebels
{Korraloi}					Korraloi Rebels
{Cantabri}					Cantabri Rebels
{Delmatae}					Delmatae Rebels
{Armenians}					Armenian Rebels
{Volcanaens}					Volcanaen Rebels
{Viturii}					Viturii Rebels
{Paphlagonians}					Paphlagonian Rebels
{Carpetani}					Carpetani Rebels
{Etruscans}					Etruscan Rebels
{Edetani}					Edetani Rebels
{Umbrians}					Umbrian Rebels
{Kadousoi}					Kadousoi Rebels
{Celtici}					Celtici Rebels
{Latins}					Latin Rebels
{Beronicensis}					Beronicensis Rebels
{Macedonians}					Macedonian Rebels
{Getae}					Getae Rebels
{Phrygians}					Phrygian Rebels
{Cappadocians}					Cappadocian Rebels
{Iberians}					Iberian Rebels
{Calabrians}					Calabrian Rebels
{Campanians}					Campanian Rebels
{Bythemanoi}					Bythemanoi Rebels
{Lesbians}					Lesbian Rebels
{Cilicians}					Cilician Rebels
{Heruli}					Heruli Rebels
{Brutii}					Brutii Rebels
{Ionians}					Ionian Rebels
{Seleucids}					Seleucid Rebels
{Syrians}					Syrian Rebels
{Attic}					Attic Rebels
{Lugii}					Lugii Rebels
{Maezaei}					Maezaei Rebels
{Makatoutai}					Makatoutai Rebels
{Metagonitai}					Metagonitai Rebels
{Palmyrans}					Palmyran Rebels
{Cypriots}					Cypriot Rebels
{Phoenicians}					Phoenician Rebels
{Taladousioi}					Taladousioi Rebels
