¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					The House of Julii
{ROMANS_BRUTII}					The House of Brutii
{ROMANS_SCIPII}					The House of Scipii
{ROMANS_SENATE}					S.P.Q.R.
{MACEDON}					Macedon
{EGYPT}					Egypt
{SELEUCID}					The Seleucid Empire
{CARTHAGE}					Carthage
{PARTHIA}					Parthia
{PONTUS}					Pontus
{GAULS}					Gaul
{GERMANS}					Germania
{BRITONS}					Britannia
{ARMENIA}					Armenia
{DACIA}					Dacia
{GREEK_CITIES}					The Greek Cities
{NUMIDIA}					Numidia
{SCYTHIA}					Scythia
{SPAIN}					Spain
{THRACE}							Thrace
{SLAVE}							Rebels
{ALEMANNI}							Alemanni
{EMPIRE_EAST}						Roman (Eastern Empire)
{EMPIRE_WEST}						Roman (Western Empire)
{EMPIRE_EAST_REBELS}					Roman (Eastern Empire Rebels)
{EMPIRE_WEST_REBELS}					Roman (Western Empire Rebels)
{FRANKS}							Franks
{HUNS}						Huns
{SARMATIANS}						Sarmatians
{SASSANIDS}							Sassanids
{SAXONS}							Saxons
{VANDALS}							Vandals
{GOTHS}							Goths
{CELTS}							Celts
{WHITE_HUNS}						White Huns
{OSTROGOTHS}						Ostrogoths
{ROMANO_BRITISH}					Romano British
{SLAVS}								Slavs
{MOORS}							Moors
{BERBERS}							Berbers

¬Culture Names
{ROMAN}					Roman
{BARBARIAN}					Barbarian
{CARTHAGINIAN}				Carthaginian
{GREEK}					Greek
{EGYPTIAN}					Egyptian
{EASTERN}					Eastern
{NOMAD}					Nomad
{HUN}						Hun
{UPPER_CHINESE}						Upper Chinese

{EMT_ROMANS_JULII_SPY}					Roman (Julii) Spy
{EMT_ROMANS_JULII_ASSASSIN}					Roman (Julii) Assassin
{EMT_ROMANS_JULII_DIPLOMAT}					Roman (Julii) Diplomat
{EMT_ROMANS_JULII_ADMIRAL}					Roman (Julii) Navy
{EMT_ROMANS_JULII_GENERAL}					Roman (Julii) Army
{EMT_ROMANS_JULII_NAMED_CHARACTER}					Roman (Julii) Family Member
{EMT_ROMANS_BRUTII_SPY}					Roman (Brutii) Spy
{EMT_ROMANS_BRUTII_ASSASSIN}					Roman (Brutii) Assassin
{EMT_ROMANS_BRUTII_DIPLOMAT}					Roman (Brutii) Diplomat
{EMT_ROMANS_BRUTII_ADMIRAL}					Roman (Brutii) Navy
{EMT_ROMANS_BRUTII_GENERAL}					Roman (Brutii) Army
{EMT_ROMANS_BRUTII_NAMED_CHARACTER}					Roman (Brutii) Family Member
{EMT_ROMANS_SCIPII_SPY}					Roman (Scipii) Spy
{EMT_ROMANS_SCIPII_ASSASSIN}					Roman (Scipii) Assassin
{EMT_ROMANS_SCIPII_DIPLOMAT}					Roman (Scipii) Diplomat
{EMT_ROMANS_SCIPII_ADMIRAL}					Roman (Scipii) Navy
{EMT_ROMANS_SCIPII_GENERAL}					Roman (Scipii) Army
{EMT_ROMANS_SCIPII_NAMED_CHARACTER}					Roman (Scipii) Family Member
{EMT_ROMANS_SENATE_SPY}					Roman (Senate) Spy
{EMT_ROMANS_SENATE_ASSASSIN}					Roman (Senate) Assassin
{EMT_ROMANS_SENATE_DIPLOMAT}					Roman (Senate) Diplomat
{EMT_ROMANS_SENATE_ADMIRAL}					Roman (Senate) Navy
{EMT_ROMANS_SENATE_GENERAL}					Roman (Senate) Army
{EMT_ROMANS_SENATE_NAMED_CHARACTER}					Roman (Senate) Family Member
{EMT_MACEDON_SPY}					Macedonian Spy
{EMT_MACEDON_ASSASSIN}					Macedonian Assassin
{EMT_MACEDON_DIPLOMAT}					Macedonian Diplomat
{EMT_MACEDON_ADMIRAL}					Macedonian Navy
{EMT_MACEDON_GENERAL}					Macedonian Army
{EMT_MACEDON_NAMED_CHARACTER}					Macedonian Family Member
{EMT_EGYPT_SPY}					Egyptian Spy
{EMT_EGYPT_ASSASSIN}					Egyptian Assassin
{EMT_EGYPT_DIPLOMAT}					Egyptian Diplomat
{EMT_EGYPT_ADMIRAL}					Egyptian Navy
{EMT_EGYPT_GENERAL}					Egyptian Army
{EMT_EGYPT_NAMED_CHARACTER}					Egyptian Family Member
{EMT_SELEUCID_SPY}					Seleucid Spy
{EMT_SELEUCID_ASSASSIN}					Seleucid Assassin
{EMT_SELEUCID_DIPLOMAT}					Seleucid Diplomat
{EMT_SELEUCID_ADMIRAL}					Seleucid Navy
{EMT_SELEUCID_GENERAL}					Seleucid Army
{EMT_SELEUCID_NAMED_CHARACTER}					Seleucid Family Member
{EMT_CARTHAGE_SPY}					Carthaginian Spy
{EMT_CARTHAGE_ASSASSIN}					Carthaginian Assassin
{EMT_CARTHAGE_DIPLOMAT}					Carthaginian Diplomat
{EMT_CARTHAGE_ADMIRAL}					Carthaginian Navy
{EMT_CARTHAGE_GENERAL}					Carthaginian Army
{EMT_CARTHAGE_NAMED_CHARACTER}					Carthaginian Family Member
{EMT_PARTHIA_SPY}					Parthian Spy
{EMT_PARTHIA_ASSASSIN}					Parthian Assassin
{EMT_PARTHIA_DIPLOMAT}					Parthian Diplomat
{EMT_PARTHIA_ADMIRAL}					Parthian Navy
{EMT_PARTHIA_GENERAL}					Parthian Army
{EMT_PARTHIA_NAMED_CHARACTER}					Parthian Family Member
{EMT_PONTUS_SPY}					Pontic Spy
{EMT_PONTUS_ASSASSIN}					Pontic Assassin
{EMT_PONTUS_DIPLOMAT}					Pontic Diplomat
{EMT_PONTUS_ADMIRAL}					Pontic Navy
{EMT_PONTUS_GENERAL}					Pontic Army
{EMT_PONTUS_NAMED_CHARACTER}					Pontic Family Member
{EMT_GAULS_SPY}					Gallic Spy
{EMT_GAULS_ASSASSIN}					Gallic Assassin
{EMT_GAULS_DIPLOMAT}					Gallic Diplomat
{EMT_GAULS_ADMIRAL}					Gallic Navy
{EMT_GAULS_GENERAL}					Gallic Army
{EMT_GAULS_NAMED_CHARACTER}					Gallic Family Member
{EMT_GERMANS_SPY}					Germanic Spy
{EMT_GERMANS_ASSASSIN}					Germanic Assassin
{EMT_GERMANS_DIPLOMAT}					Germanic Diplomat
{EMT_GERMANS_ADMIRAL}					Germanic Navy
{EMT_GERMANS_GENERAL}					Germanic Army
{EMT_GERMANS_NAMED_CHARACTER}					Germanic Family Member
{EMT_BRITONS_SPY}					Briton Spy
{EMT_BRITONS_ASSASSIN}					Briton Assassin
{EMT_BRITONS_DIPLOMAT}					Briton Diplomat
{EMT_BRITONS_ADMIRAL}					Briton Navy
{EMT_BRITONS_GENERAL}					Briton Army
{EMT_BRITONS_NAMED_CHARACTER}					Briton Family Member
{EMT_ARMENIA_SPY}					Armenian Spy
{EMT_ARMENIA_ASSASSIN}					Armenian Assassin
{EMT_ARMENIA_DIPLOMAT}					Armenian Diplomat
{EMT_ARMENIA_ADMIRAL}					Armenian Navy
{EMT_ARMENIA_GENERAL}					Armenian Army
{EMT_ARMENIA_NAMED_CHARACTER}					Armenian Family Member
{EMT_DACIA_SPY}					Dacian Spy
{EMT_DACIA_ASSASSIN}					Dacian Assassin
{EMT_DACIA_DIPLOMAT}					Dacian Diplomat
{EMT_DACIA_ADMIRAL}					Dacian Navy
{EMT_DACIA_GENERAL}					Dacian Army
{EMT_DACIA_NAMED_CHARACTER}					Dacian Family Member
{EMT_GREEK_CITIES_SPY}					Greek Spy
{EMT_GREEK_CITIES_ASSASSIN}					Greek Assassin
{EMT_GREEK_CITIES_DIPLOMAT}					Greek Diplomat
{EMT_GREEK_CITIES_ADMIRAL}					Greek Navy
{EMT_GREEK_CITIES_GENERAL}					Greek Army
{EMT_GREEK_CITIES_NAMED_CHARACTER}					Greek Family Member
{EMT_NUMIDIA_SPY}					Numidian Spy
{EMT_NUMIDIA_ASSASSIN}					Numidian Assassin
{EMT_NUMIDIA_DIPLOMAT}					Numidian Diplomat
{EMT_NUMIDIA_ADMIRAL}					Numidian Navy
{EMT_NUMIDIA_GENERAL}					Numidian Army
{EMT_NUMIDIA_NAMED_CHARACTER}					Numidian Family Member
{EMT_SCYTHIA_SPY}					Scythian Spy
{EMT_SCYTHIA_ASSASSIN}					Scythian Assassin
{EMT_SCYTHIA_DIPLOMAT}					Scythian Diplomat
{EMT_SCYTHIA_ADMIRAL}					Scythian Navy
{EMT_SCYTHIA_GENERAL}					Scythian Army
{EMT_SCYTHIA_NAMED_CHARACTER}					Scythian Family Member
{EMT_SPAIN_SPY}					Spanish Spy
{EMT_SPAIN_ASSASSIN}					Spanish Assassin
{EMT_SPAIN_DIPLOMAT}					Spanish Diplomat
{EMT_SPAIN_ADMIRAL}					Spanish Navy
{EMT_SPAIN_GENERAL}					Spanish Army
{EMT_SPAIN_NAMED_CHARACTER}					Spanish Family Member
{EMT_THRACE_SPY}					Thracian Spy
{EMT_THRACE_ASSASSIN}					Thracian Assassin
{EMT_THRACE_DIPLOMAT}					Thracian Diplomat
{EMT_THRACE_ADMIRAL}					Thracian Navy
{EMT_THRACE_GENERAL}					Thracian Army
{EMT_THRACE_NAMED_CHARACTER}					Thracian Family Member

{EMT_ALEMANNI_SPY}							Alemanni Spy
{EMT_ALEMANNI_ASSASSIN}						Alemanni Assassin
{EMT_ALEMANNI_DIPLOMAT}						Alemanni Diplomat
{EMT_ALEMANNI_ADMIRAL}						Alemanni Navy
{EMT_ALEMANNI_GENERAL}						Alemanni Army
{EMT_ALEMANNI_NAMED_CHARACTER}				Alemanni Family Member

{EMT_EMPIRE_EAST_SPY}						Roman (Eastern Empire) Spy
{EMT_EMPIRE_EAST_ASSASSIN}					Roman (Eastern Empire) Assassin
