¬ Text file converted with loc_parser
{baggage_train}				Wagon de bagages
{cavalry_barracks}			Haras
{eastern_cavalry_barracks}			Haras
{eastern_hippodrome}	Haras de la cavalerie d’élite
{egyptian_cavalry_barracks}	Haras
{egyptian_governors_palace}	Palais du gouverneur
{egyptian_hippodrome}		Haras de la cavalerie d’élite
{egyptian_shrine}		Autel
{egyptian_temple}		Temple
{forum}				Forum
{great_forum}			Grand forum
{greek_governors_palace}	Palais du gouverneur
{greek_large_marketplace}	Agora
{greek_marketplace}		Marché
{greek_merchants_quarter}	Quartier des négociants
{greek_pro-consuls_palace}	Chambres du conseil
{pantheon}			Panthéon
{plaza}				Place
{ambient}			Bâtiment
{roman_blacksmith}		Forgeron
{roman_governors_palace}	Palais du gouverneur
{roman_marketplace}		Marché
{roman_pro-consuls_palace}	Palais du proconsul
{roman_trader}			Marchand
{shrine}			Autel
{stables}		Ecuries
{trader}		Marchand
{hall_large}		Grande salle
{lith}			Cercle de pierres
{long_house}		Maison longue
{park_building}		Dépendances
{hut}			Hutte
{watchtower}		Tour de guet
{tent}			Tente
{henge}			Structure circulaire
{paddock}		Enclos
{standing_stones}	Alignement de pierres
{marketplace}		Marché
{smiths_workshop}	Atelier du forgeron
{warlords_hold}		Demeure du chef de guerre
{sacred_grove}		Bosquet sacré
{sacred_circle}		Cercle sacré
{warriors_hold}		Demeure du guerrier
{high_kings_hall}	Résidence royale
{drinking_hall}		Salle des boissons
{mead_hall}		Salle de l’hydromel
{hall_of_heroes}	Assemblée des héros
{warlords_stable}	Haras du chef de guerre
{great_market}		Grand marché
{sacred_archway}	Voûte sacrée
{eastern_blacksmith}	Forgeron
{eastern_governors_palace}	Palais du gouverneur
{eastern_governors_villa}	Villa du gouverneur
{eastern_imperial_palace}	Palais royal
{eastern_pro-consuls_palace}	Chambres du conseil
{eastern_shrine}		Autel
{eastern_temple}		Temple
{eastern_workshop}		Atelier
{egyptian_eastern_merchants_quarter}	Quartier des négociants
{egyptian_shrine}		Autel
{large_temple}			Grand temple
{councillor's_chambers}		Chambres du conseil
{awesome_temple}		Très grand temple
{governor's_house}		Maison du gouverneur
{tree}		Arbre
{vegetation}	Végétation
{theatre}	Théâtre
{temple}	Temple
{royal_palace}	Palais royal
{dockyard}	Arsenal
{ancient_obelisk}	Obélisque
{practice_range}	Champ de tir
{archery_range}		Champ de tir à l’arc
{catapult_range}	Champ de tir à la catapulte
{siege_engineer}	Concepteur d'engins de siège
{academy}		Académie
{city_barracks}		Caserne
{ludus_magna}		Ludus Magnus
{militia_barracks}	Baraquement de miliciens
{scriptorium}		Scriptorium
{camel_stables}		Ecuries de chameaux
{governor's_villa}	Villa du gouverneur
{pharoah's_palace}	Palais du pharaon
{bazaar}		Bazar
{tomb}			Tombe
{huge_city}		Métropole
{pyramid}		Pyramide
{governor's_house}	Maison du gouverneur
{elite_cavalry_stables}	Haras de la cavalerie d’élite
{ruined_temple}		Temple en ruines
{bath_house}		Bains publics
{circus_maximus}	Cirque Maxime
{colosseum}		Colisée
{large_city}		Grande ville
{hippodrome}		Hippodrome
{barracks}		Baraquement
{country_villa}		Villa de campagne
{farm}			Ferme
{governor's_house}	Maison du gouverneur
{imperial_palace}	Palais impérial
{sarcophagus}		Sarcophage
{arena}			Arène
{amphitheatre}		Amphithéâtre
{onager}	Onagre
{siege_tower}	Tour de siège
{ballista}	Baliste
{sphinx}	Sphinx
{great_sphinx}	Le grand Sphinx
{temple_of_zeus}	Le temple de Zeus à Olympie
{temple_to_artemis}	Le temple d’Artémis à Ephèse
{mausoleum}		Le mausolée d’Halicarnasse
{pharos}		Le phare d’Alexandrie
