¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Maison Julii
{ROMANS_BRUTII}					Maison Brutii
{ROMANS_SCIPII}					Maison Scipii
{ROMANS_SENATE}					S.P.Q.R.
{MACEDON}					Macédoine
{EGYPT}					Egypte
{SELEUCID}					Empire séleucide
{CARTHAGE}					Carthage
{PARTHIA}					Parthie
{PONTUS}					Le Pont
{GAULS}					Gaule
{GERMANS}					Germanie
{BRITONS}					Britannie
{ARMENIA}					Arménie
{DACIA}					Dacie
{GREEK_CITIES}					Cités grecques
{NUMIDIA}					Numidie
{SCYTHIA}					Scythie
{SPAIN}					Espagne
{THRACE}							Thrace
{SLAVE}							Rebelles
{ALEMANNI}							Alamans
{EMPIRE_EAST}						Romains (empire d'orient)
{EMPIRE_WEST}						Romains (empire d'occident)
{EMPIRE_EAST_REBELS}					Romains (rebelles de l'empire d'orient)
{EMPIRE_WEST_REBELS}					Romains (rebelles de l'empire d'occident)
{FRANKS}							Francs
{HUNS}						Huns
{SARMATIANS}						Sarmates
{SASSANIDS}							Sassanides
{SAXONS}							Saxons
{VANDALS}							Vandales
{GOTHS}							Goths
{CELTS}							Celtes
{WHITE_HUNS}						Huns blancs
{OSTROGOTHS}						Ostrogoths
{ROMANO_BRITISH}					Britto-romains
{SLAVS}								Slaves
{MOORS}							Maures
{BERBERS}							Berbères

¬Culture Names
{ROMAN}					Romains
{BARBARIAN}					Barbares
{CARTHAGINIAN}				Carthaginois
{GREEK}					Grecs
{EGYPTIAN}					Egyptiens
{EASTERN}					Orientaux
{NOMAD}					Nomades
{HUN}						Huns

{EMT_ROMANS_JULII_SPY}					Espion romain (Julii)
{EMT_ROMANS_JULII_ASSASSIN}					Assassin romain (Julii)
{EMT_ROMANS_JULII_DIPLOMAT}					Diplomate romain (Julii)
{EMT_ROMANS_JULII_ADMIRAL}					Flottille romaine (Julii)
{EMT_ROMANS_JULII_GENERAL}					Armée romaine (Julii)
