¬ Comments are marked with whatever character this is at the start
¬ There must be a comment on the first line if tag delimeters and comments are included in the rest of the file
{strat}					Menu stratégie		¬ Mid line comment, just to test
{strat_ed}					Menu éditeur de stratégie
{battle}					Menu bataille
{battle_view}					Vue de la bataille
{battle_ed}					Editeur de bataille
{overview}					Menu général
{all}						Tous les menus
{order_halt}				Mouvement : halte
{unit_zoom}					Zoom : unité
{orders_group}				Grouper les unités sélectionnées
{orders_ungroup}				Annuler le groupement
{general_zoom}				Zoom : général
{unit_track}				Suivre : unité
{end_battle}				Quitter le combat
{show_help}					Afficher l’aide
{general_chat}				Envoyer un message
{inc_scale}					Radar : augmenter l’échelle
{dec_scale}					Radar : réduire l’échelle
{faction_highlight}			Régions des factions en surbrillance
{save_stratmap}				Sauvegarde rapide
{load_stratmap}				Chargement rapide
{speedup_ai}				Accélérer l’IA
{stop_character}				Immobiliser le personnage
{quit}						Quitter la partie
{capital_zoom}				Zoomer sur la capitale
{undo}						Annuler la dernière fonction
{redo}						Rétablir la dernière fonction
{delete_selected}			Effacer l’objet sélectionné
{step_fwd}					Caméra : travelling avant
{step_fwd_fast}				Caméra : travelling avant rapide
{step_bck}					Caméra : travelling arrière
{cam_up}					Caméra : travelling vers le haut
{cam_down}					Caméra : travelling vers le bas
{rot_l}						Caméra : rotation gauche
{rot_r}						Caméra : rotation droite
{fov_dec}					Caméra : réduire le champ de vision
{fov_inc}					Caméra : augmenter le champ de vision
{rot_u}						Caméra : rotation haut
{rot_d}						Caméra : rotation bas
{step_l}					Caméra : travelling latéral gauche
{step_r}					Caméra : travelling latéral droit
{speed_inc}					Caméra : accélérer
{speed_dec}					Caméra : ralentir
{select_all}				Portraits : sélectionner tous
{select_prev}				Portraits : sélectionner précédent
{deselect_all}				Portraits : désélectionner tous
{select_next}				Portraits : sélectionner suivant
{select_next_grp}			Portraits : sélectionner groupe suivant
{select_prev_grp}			Portraits : sélectionner groupe précédent
{select_siege}				Sélectionner toutes les unités d’artillerie
{select_infantry}			Sélectionner toutes les unités d’infanterie
{select_cavalry}			Sélectionner toutes les unités de cavalerie
{select_melee}				Sélectionner toutes les unités de combat rapproché
{select_missile}			Sélectionner toutes les unités de tireurs
{save}						Sauvegarder
{load}						Charger
{zoom_in}					Zoomer sur la carte
{zoom_out}					Faire un zoom arrière sur la carte
