¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Romains
{SMT_CULTURE_BARBARIAN}			Barbares
{SMT_CULTURE_CARTHAGE}				Carthaginois
{SMT_CULTURE_GREEK}				Grecs
{SMT_CULTURE_EGYPT}				Egyptiens
{SMT_CULTURE_EASTERN}				Orientaux
{SMT_END_TURN}					Fin de tour
{SMT_SABOTAGE}					Sabotage
{SMT_ASSASSINATE}				Assassinat
{SMT_SETTLEMENTS}				Communautés
{SMT_CAPITAL}					Capitale
{SMT_ALLIES}					Alliés
{SMT_ENEMIES}					Ennemis
{SMT_SUSPICIOUS}				Méfiant
{SMT_NEUTRAL}					Neutre
{SMT_HOSTILE}					Hostile
{SMT_AT_WAR}					En guerre
{SMT_NIGHT_ATTACK}				Tenter une attaque nocturne
{SMT_TRADE_RIGHTS}				Droits de commerce
{SMT_SIEGE}					Continuer le siège
{SMT_ASSAULT}					Assaut
{SMT_END_SIEGE}					Briser le siège
{SMT_AGE}					Age
{SMT_LOYALTY}					Loyauté
{SMT_GOVERNOR}					Gouverneur
{SMT_GARRISON}					Garnison
{SMT_RECRUITMENT_COST}				Coût de recrutement :
{SMT_RECRUITMENT_TIME}				Temps de recrutement :
{SMT_RETRAIN_TIME}				Temps de re-formation :
{SMT_RETRAIN_COST}				Coût de re-formation :
{SMT_FIGHT_BATTLE}				Combattre sur la carte de bataille
{SMT_WITHDRAW}				Se retirer de la bataille
{SMT_AUTORESOLVE}				Résolution auto de la bataille
{SMT_DISBAND}					Disperser unité\nLes unités terrestres ne peuvent être dispersées que dans une région d’origine, les unités marines dans un port\nLes unités des généraux ne peuvent être dispersées.
{SMT_DOCTOR_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_QUARTERMASTER_DESCR}			THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_PRIEST_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_SCOUT_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_ENGINEER_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_SPY_DESCR}				Un espion révèle des renseignements sur les factions adverses. Il peut servir à rassembler des informations sur les villes, armées et personnages de vos rivaux. Plus il reste implanté comme espion, plus il découvrira d'informations. Il peut également pousser les habitants à s’insurger ; enfin, s’il est dans une ville assiégée par sa propre faction, il lui ouvrira les portes !
{SMT_ASSASSIN_DESCR}				Parfois, un vulgaire couteau peut être plus efficace qu’un millier d’épées ; encore faut-il pour cela le mettre entre de bonnes mains. L’assassin permet de donner une dimension toute personnelle à la politique et la guerre, en s’attaquant aux chefs et autres éminents personnages d’une faction. Les chances de succès d’un assassin dépendent de ses compétences, de l’importance de sa cible, et peut-être aussi d’un soupçon de chance.
{SMT_DIPLOMAT_DESCR}				Le diplomate est un individu rompu à l’art de la flatterie, de la flagornerie, du beau discours, voire de la menace, qui représente son peuple au contact des factions rivales. Sa tâche consiste à conclure une entente, cimenter un traité de paix ou même exiger une reddition. Les diplomates sont par ailleurs les yeux et les oreilles de leur faction.
{SMT_ADMIRAL_DESCR}				L’amiral est un commandant mineur en charge d’une flotte. Ses compétences et capacités peuvent être utiles pendant les batailles navales et pour permettre à la flotte de naviguer en sûreté. Chaque flotte possède un amiral qui la commande en permanence.
{SMT_ARMY_UPKEEP}				Frais d’entretien de l’armée
{SMT_LOYALTY_REVOLTING}			Révolté
{SMT_LOYALTY_RIOTING}				En émeute
{SMT_LOYALTY_DISILLUSIONED}			Désabusé
{SMT_LOYALTY_CONTENT}				Satisfait
{SMT_LOYALTY_HAPPY}				Heureux
{SMT_FORTIFICATION_NONE}			Aucune fortification
{SMT_FORTIFICATION_0}				Bois
{SMT_FORTIFICATION_1}				Bois, massives
{SMT_FORTIFICATION_2}				Pierre
{SMT_FORTIFICATION_3}				Pierre, massives
{SMT_FORTIFICATION_4}				Gigantesques
{SMT_MISSION_INFILTRATE}			Mission d’infiltration
{SMT_MISSION_DIPLOMACY}			Mission diplomatique
{SMT_MISSION_BRIBE}				Mission de corruption
{SMT_MISSION_SPYING}				Mission d’espionnage
{SMT_MISSION_ASSASSINATE}			Mission d’assassinat
{SMT_MISSION_SABOTAGE}				Mission de sabotage
{SMT_NAME}					Nom
{SMT_FORT}					Fort
{SMT_FACTION}					Faction
{SMT_PORT}					Port
{SMT_POPULATION}				Population
{SMT_FATIGUE}					Niveau de fatigue
{SMT_EXPERIENCE}				Expérience
{SMT_MILD}					modéré
{SMT_MASSIVE}					massif
{SMT_CATASTROPHIC}				catastrophique
{SMT_SMALL}					petit
{SMT_MEDIUM}					modéré
{SMT_LARGE}					grand
{SMT_HUGE}					énorme
{SMT_CURRENTLY_BUILDING}			En cours de construction
{SMT_HEALTHY}					Bien portant
{SMT_TIRED}					Fatigué
{SMT_ILL}					Malade
{SMT_DYING}					Mourant
{SMT_ARMY_DETAILS}				Infos sur armée
{SMT_ENEMY_ARMY_DETAILS}			Infos sur armée ennemie
{SMT_ALLIED_ARMY_DETAILS}			Infos sur armée alliée
{SMT_NEUTRAL_ARMY_DETAILS}			Infos sur armée neutre
{SMT_NAVY_DETAILS}				Infos sur flottille
{SMT_ENEMY_NAVY_DETAILS}			Infos sur flottille ennemie
{SMT_ALLIED_NAVY_DETAILS}			Infos sur flottille alliée
{SMT_NEUTRAL_NAVY_DETAILS}			Infos sur flottille neutre
{SMT_SETTLEMENT_DETAILS}			Infos sur communauté
{SMT_ENEMY_SETTLEMENT_DETAILS}		Infos sur communauté ennemie
{SMT_NEUTRAL_SETTLEMENT_DETAILS}		Infos sur communauté neutre
{SMT_ALLIED_SETTLEMENT_DETAILS}		Infos sur communauté alliée
{SMT_FORT_DETAILS}				Infos sur fort
{SMT_ENEMY_FORT_DETAILS}			Infos sur fort ennemi
{SMT_ALLIED_FORT_DETAILS}			Infos sur fort allié
{SMT_NEUTRAL_FORT_DETAILS}			Infos sur fort neutre
{SMT_SET_HEIR}					Définir l’héritier de faction
{SMT_PREV_CITY}					Ville précédente
{SMT_NEXT_CITY}				Ville suivante
{SMT_NEXT_CHARACTER}				Personnage suivant
{SMT_PREV_CHARACTER}				Personnage précédent
{SMT_NEXT_UNIT}				Unité suivante
{SMT_PREV_UNIT}					Unité précédente
{SMT_PREV_FORT}				Fort précédent
{SMT_NEXT_FORT}				Fort suivant
{SMT_FOOD_SUPPLIES}				Réserves de nourriture
{SMT_STATE_REVOLTING}				Les paysans de cette communauté se sont révoltés.
{SMT_STATE_NOT_REVOLTING}			Il n’y a pas de signe de contestation dans cette communauté
{SMT_STATE_UNDER_SIEGE}			Cette communauté est assiégée
{SMT_STATE_NOT_UNDER_SIEGE}			Cette communauté n’est pas assiégée
{SMT_STATE_HOLDING_GAMES}			Cette communauté accueille des Jeux
{SMT_STATE_NOT_HOLDING_GAMES}			Il n’y a pas de Jeux en ce moment dans cette communauté.
{SMT_STATE_PLAGUE}				La peste a envahi les rues de cette communauté
{SMT_STATE_NOT_PLAGUED}			Aucun signe de peste dans cette communauté
{SMT_FERTILE_LOW}				Fertilité basse
{SMT_FERTILE_MEDIUM}				Fertilité moyenne
{SMT_FERTILE_HIGH}				Fertilité haute
