¬ Text file converted with loc_parser
{TMT_SETTLEMENT_INCOME}					Revenu de la communauté
{TMT_LOYALTY_TOOLTIP_REVOLTING}					Loyauté : révolté
{TMT_LOYALTY_TOOLTIP_RIOTING}					Loyauté : émeutier
{TMT_LOYALTY_TOOLTIP_DISILLUSIONED}					Loyauté : désabusé
{TMT_LOYALTY_TOOLTIP_CONTENT}					Loyauté : satisfait
{TMT_LOYALTY_TOOLTIP_HAPPY}					Loyauté : heureux
{TMT_GROWTH_TOOLTIP_GROWTH}					Population : en croissance
{TMT_GROWTH_TOOLTIP_STATIC}					Population : pas de croissance
{TMT_GROWTH_TOOLTIP_DECLINING}					Population : en diminution
{TMT_SETTLEMENT_STATUS_TRAINING}					Unités en cours de formation
{TMT_SETTLEMENT_STATUS_BUILDING}					Bâtiments en cours de construction
{TMT_LCLICK_FOR_BUILD_OPTIONS}					Faire un clic gauche pour voir les possibilités d’évolution de ce bâtiment
{TMT_CONSTRUCTION_HELP}					Faire un clic gauche pour ajouter à la file d’attente, faire un clic droit pour obtenir des informations
{TMT_CONSTRUCTION_REMOVE_HELP}					Faire un clic gauche pour retirer de la file d’attente
{TMT_COST_OF_CONSTRUCTION}					Coût de construction
{TMT_TIME_TO_CONSTRUCT}					Nombre de tours nécessaires pour la construction
{TMT_COST_OF_RECRUITMENT_UNIT}					Coût de recrutement de l’unité
{TMT_TIME_TO_RECRUIT}					Nombre de tours nécessaires pour la formation
{TMT_SEASON_SUMMER}					Eté
{TMT_SEASON_WINTER}					Hiver
{TMT_REMAINING_ACTION_POINTS}					Points de mouvement\nLa barre bleu foncé représente les points restants\nLa section bleu clair représente les effets\nsur les points de mouvement après que l’action en cours\nait été effectuée
{TMT_ACCEPT_FIELD_CONSTRUCTION}					Construire l’objet sélectionné
{TMT_CANCEL_FIELD_CONSTRUCTION}					Ne rien construire
{TMT_BUILD_FORT_OR_WATCHTOWER}					Construire un fort ou une tour de guet
{TMT_CANNOT_BUILD_FORT_OR_WATCHTOWER}					Impossible de construire un fort ou une tour de guet à cet emplacement
{TMT_CANNOT_ATTACK_FROM_SIEGED_SETTLEMENT}					Les armées en siège ne peuvent être attaquées que depuis une garnison assiégée
{TMT_SHOW_GENERAL_UNIT_DETAILS}					Voir les détails de cette unité de gardes du corps
{TMT_LCLICK_SELECT}					Faire un clic gauche pour sélectionner
{TMT_RCLICK_INFO}					Faire un clic droit pour obtenir des informations supplémentaires
{TMT_LDBL_CLICK_INFO}					Faire un double-clic gauche pour obtenir des informations supplémentaires
{TMT_CURSOR_ATTACK}					Faire un clic droit pour attaquer
