¬ Strings that only appear in battle
{BMT_TURTLE}											Spezialfähigkeit: Schildkrötenformation
{BMT_PHALANX}											Spezialfähigkeit: Phalanxformation
{BMT_TOGGLE_SKIRMISH_ON}								Plänkelmodus aktivieren
{BMT_TOGGLE_FIRE_ON}									Ohne Befehl schießen-Modus aktivieren
{BMT_TOGGLE_SKIRMISH_OFF}								Plänkelmodus deaktivieren
{BMT_TOGGLE_FIRE_OFF}									Ohne Befehl schießen-Modus deaktivieren
{BMT_TOGGLE_DEFEND_ON}								Bewachen-Modus aktivieren
{BMT_TOGGLE_DEFEND_OFF}								Bewachen-Modus deaktivieren
{BMT_TOGGLE_FORMATION_TIGHT}							Einheitenformation auf 'eng' stellen
{BMT_TOGGLE_FORMATION_LOOSE}							Einheitenformation auf 'locker' stellen
{BMT_TOGGLE_SPECIAL_FORMATION_ON}						Spezielle Einheitenformation wählen (Schildkröte/Phalanx etc.)
{BMT_TOGGLE_SPECIAL_FORMATION_OFF}					Einheitenformation auf 'normal' stellen
{BMT_RADAR_ZOOM_IN}									Hereinzoomen
{BMT_RADAR_ZOOM_OUT}									Herauszoomen
{BMT_SHOW_GROUP_FORMATIONS}							Gruppenformationsbuttons einblenden
{BMT_HIDE_GROUP_FORMATIONS}							Gruppenformationsbuttons ausblenden
{BMT_HALT}											Momentane Befehle stoppen
{BMT_WALK}											Laufen
{BMT_RUN}												Rennen
{BMT_WITHDRAW}										Zurückziehen
{BMT_PAUSE}											Spiel pausieren
{BMT_NEW_PLAY}										Spiel mit einfacher Geschwindigkeit fortsetzen
{BMT_DOUBLE}											Doppelte Spielgeschwindigkeit
{BMT_TRIPLE}											Dreifache Spielgeschwindigkeit
{BMT_RADAR}											Übersichtskarte
{BMT_GROUP}											Gewählte Einheiten gruppieren
{BMT_UNGROUP}											Gruppierung gewählter Einheiten auflösen
{BMT_FAT_FRESH}										Ausgeruht
{BMT_FAT_WARMED_UP}									Erwärmt
{BMT_FAT_WINDED}										Außer Atem
{BMT_FAT_TIRED}										Müde
{BMT_FAT_MOST_TIRED}									Erschöpft
{BMT_FAT_EXHAUSTED}									Völlig erschöpft
{BMT_MOR_BESERK}										Rasend
{BMT_MOR_IMPETUOUS}									Stürmisch
{BMT_MOR_HIGH}										Eifrig
{BMT_MOR_FIRM}										Ruhig
{BMT_MOR_SHAKEN}										Erschüttert
{BMT_MOR_WAVERING}									Schwankend
{BMT_MOR_ROUTING}										Zerrüttet
{BMT_END_DEPLOYMENT}									SCHLACHT STARTEN
{BMT_WAIT}											WARTEN
{BMT_START_DEPLOYMENT}									POSITIONIERUNG STARTEN
{BMT_CHAT_SUPPORT}									Unterstützen
{BMT_CHAT_RETREAT}									Rückzug
{BMT_CHAT_ADVANCE}									Vorrücken
{BMT_CHAT_ATTACK}										Angreifen
{BMT_CHAT_HELP}										Hilfe anbieten
{BMT_CHAT_SUPPORT_FLANK}								Meine Flanke unterstützen
{BMT_CHAT_SUPPORT_ATTACK}								Meinen nächsten Angriff unterstützen
{BMT_CHAT_SUPPORT_ADVANCE}								Mein Vorrücken unterstützen
{BMT_CHAT_RETREAT_FLANK}								Zurückziehen und meine Flanken decken
{BMT_CHAT_RETREAT_GENERAL}								Fliehen mit Mann und Maus
{BMT_CHAT_ADVANCE_LINE}									An Kampflinie vorrücken
{BMT_CHAT_ADVANCE_KEEP_UP}								Mit meinen Truppen mithalten
{BMT_CHAT_ATTACK_ALL}									Jeden angreifen
{BMT_CHAT_RETREAT_TO_POS}								Zur gezeigten Position zurückfallen
