¬ Text file converted with loc_parser
{BET_CREATE_NEW_ARMY}					Armeedetails bearbeiten
{BET_SELECT_FACTION}					Seite wählen
{BET_IS_ATTACKER}						Greift an?
{BET_IS_REINFORCEMENT}					Ist Verstärkung?
{BET_TIME_TO_REINFORCE}					Schließt sich in %d Stunden an
{BET_ONE_HOUR_TO_REINFORCE}				Schließt sich in 1 Stunde an
{BET_CREATE_NEW_UNIT}					Einheitendetails bearbeiten
{BET_UNIT_SIZE}							Einheitengröße
{BET_EXPERIENCE}						Erfahrung
{BET_PRI_WPN_LVL}						Waffenaufrüstungen
{BET_ARMOUR_LVL}						Rüstungsaufrüstungen
{BET_CAN_WITHDRAW}						Kann sich zurückziehen
{BET_SUPPORTING_ARMIES}					Anz. Unterstützungsarmeen
{BET_GENERAL}							General
{BET_NAME}								Name
{BET_AGE}								Alter
{BET_CREATE_DEPLOYMENT}					Positionierungsbereiche erstellen\nEine Armee muss gewählt sein, um Positionierungsbereiche zu erstellen.\nWählen Sie mindestens drei Punkte für einen Bereich.\nMarkierungen können versetzt werden, wenn der Mauszeiger hervorgehoben ist.\nHalten Sie Umschalten gedrückt und bewegen Sie eine hervorgehobene Markierung, um den gesamten Bereich zu bewegen.
{BET_EDIT_HEIGHTS}						Landschaftshöhen bearbeiten
{BET_EDIT_TEXTURES}						Landschaftstexturen bearbeiten
{BET_UPDATE_TREES}						Bäume aktualisieren\nBäume mit dem Landschafts-Textur-Werkzeug hinzufügen und entfernen.\nKlicken sie dann hier zum Aktualisieren.
{BET_EDIT_SETTLEMENT}					Siedlungsplan und Gebäude hinzufügen.\nNur eine größere Siedlung kann pro Karte platziert werden.\nBewegen Sie platzierte Siedlungen im Modus 'Objekte'.
{BET_PLACE_LANDSCAPE_FEATURES}			Objektmodelle platzieren und bewegen\nModell platzieren, wenn die Vorlage grün angezeigt wird.\nBei der Platzierung kann mit beiden gedrückten Tasten rotiert werden.\nModelle mit rechter Maustaste löschen.\nPlatzierte Modelle können durch erneute Wahl und Ziehen zu einer neuen Position bewegt werden.
{BET_EDIT_ARMIES}						Armee erstellen
{BET_EDIT_UNITS}						Einheiten erstellen/bearbeiten\nEine Armee oder Einheit muss gewählt sein, um ihr Einheiten hinzuzufügen.\nEinheiten einem Positionierungsbereich hinzufügen.\nKlicken und die Taste gedrückt halten, Maus nach links oder rechts bewegen, um die Blickrichtung und Formationsbreite zu verändern.
{BET_START_TIME}					Startzeit
{BET_EDIT_UNIT_SCRIPT}					Einheiten-KI-Skript bearbeiten
{BET_DELETE_FACTION_CONFIRMATION}		Das Löschen einer Seite führt zum Verlust aller zugehörigen Armeen, Charaktere, Positionierungsbereiche und Einheiten. Sind Sie sicher, dass Sie diese Aktion durchführen möchten?
{BET_DELETE_ARMY_CONFIRMATION}			Das Löschen einer Armee führt zum Verlust aller zugehörigen Charaktere, Einheiten und Positionierungsbereiche. Sind Sie sicher, dass Sie diese Aktion durchführen möchten?
{BET_DELETE_UNIT_CONFIRMATION}			Das Löschen einer Einheit führt zum Verlust aller zugehörigen Daten. Sind Sie sicher, dass Sie diese Aktion durchführen möchten?
{BET_DELETE_CHARACTER_CONFIRMATION}		Das Löschen eines Charakters führt zum Verlust aller zugehörigen Einheiten-/Armee-Daten. Sind Sie sicher, dass Sie diese Aktion durchführen möchten?
{BET_DELETE_SETTLEMENT_CONFIRMATION}	Sind Sie sicher, dass Sie diese Siedlung löschen möchten?
{BET_CONFIRM_DELETE}					Löschen bestätigen
{BET_SET_VICTORY_CONDITIONS}			Siegbedingungen festlegen
{BET_CONDITIONS}					Bedingungen
{BET_BATTLE_DURATION}					Zeitlimit festlegen (Stunden):
{BET_ADD_CONDITION}						Neue Bedingung hinzufügen
{BET_DELETE_CONDITION}				Bedingung löschen
{BET_ILLEGAL_DEPLOYMENT_AREA}			Der Positionierungsbereich mit diesen drei Punkten ist ungültig. Wählen Sie Abbrechen, um die Punkte neu zu bearbeiten, oder Annehmen, um den gesamten Bereich zu löschen.
{BET_ERROR}								Fehler
{BET_MODEL_TYPE_GENERAL}				Allgemeine Landschaften
{BET_MODEL_TYPE_RIVERS}					Flüsse
{BET_MODEL_TYPE_AMBIENT_SETTLEMENT}		Siedlungsumgebungen
{BET_MODEL_TYPE_SPECIAL}				Spezial
{BET_EDIT_BATTLE_DETAILS}				Schlachtdetails bearbeiten
{BET_IS_NIGHT_BATTLE}					Nächtliche Schlacht?
{BET_IS_AMBUSH}							Hinterhalt?
{BET_ENTER_DESCRIPTION}					Schlachtbeschreibung eingeben
{BET_EDIT_CHARACTER}					Charakter bearbeiten
{BET_SELECT_CHARACTER_TYPE}				Charaktertyp
{BET_EDIT_CHARACTER_RECORD}				Charakterdaten bearbeiten
{BET_IS_MALE}							Ist männlich?
{BET_CREATE_CHARACTER}					Neuen Charakter erstellen
{BET_CREATE_SETTLEMENT}					Neue Siedlung erstellen
{BET_MOVE_ITEM}							Objekt bewegen
{BET_EDIT_FAMILY}						Stammbaum bearbeiten\nEine Seite muss gewählt sein, um den Stammbaum zu bearbeiten.
{BET_EDIT_CLIMATES}						Klimakarte bearbeiten
{BET_EDIT_GROUND_TYPES}					Bodentypen bearbeiten
{BET_CREATE_CHARACTER_RECORD}			Charakterdaten von Frauen oder Kindern erstellen
{BET_ADD_CHILD}							Als Kind hinzufügen
{BET_ADD_SPOUSE}						Als Gemahlin hinzufügen
{BET_REMOVE_RELATIVE}					Verhältnis auflösen
{BET_EDIT_RESOURCE}					Ressourcen, Forts und Wachtürme bearbeiten
{BET_EDIT_RIVERS}					Landschaftsobjekte bearbeiten
{BET_EDIT_TRADE_ROUTES}					Handelsrouten bearbeiten
{BET_SELECT_RESOURCE}					Ressource und Stufe wählen
{BET_ADD_UNITS}					Einheiten der Armee hinzufügen
{BET_REMOVE_UNITS}					Gewählte Einheit entfernen
{BET_GARRISONED}					Garnison
{BET_CREATE_ALLIANCES}					Bündnisse erstellen
{BET_SELECT_ALLIANCE}					Bündnis wählen
{BET_DELETE_ALLIANCE}					Bündnis löschen
{BET_CAN_WAIT}					Kann warten\nArmeen dieses Bündnisses können eine Schlacht zu Beginn verzögern.
{BET_CAN_DEPLOY}					Kann positionieren\nArmeen dieses Bündnisses können Einheiten in der Positionierungsphase positionieren.
{BET_CAN_VIEW}					Kann anschauen\nArmeen dieses Bündnisses können sich das Schlachtfeld vor der Positionierung anschauen.
{BET_SELECT_HOME_FACTION}					Heimseite wählen
{BET_WEATHER_SEED}					Wetter-Generierung
{BET_GENERATE_RANDOM_SEED}					Neues Wetter generieren
{BET_WALL_SIZE_NORMAL}					Normal
{BET_WALL_SIZE_LARGE}					Groß
{BET_WALL_SIZE_HUGE}					Riesig
{BET_WALL_LEVEL}					Mauernstufe
{BET_TOWERS_NORMAL}					Wachtürme
{BET_TOWERS_ARROW}					Pfeil-Türme
{BET_TOWERS_BALLISTA}					Ballisten-Türme
{BET_TOWER_LEVEL}					Turmstufe
{BET_GATES_0}					Holz
{BET_GATES_1}					Starkes Holz
{BET_GATES_2}					Eisenverstärkt
{BET_GATE_LEVEL}					Torstufe
{BET_GATE_DEFENCES_NONE}					Ohne
{BET_GATE_DEFENCES_SAND}					Kochender Sand
{BET_GATE_DEFENCES_OIL}					Kochendes Öl
{BET_GATE_DEFENCES_LEVEL}					Tor-Verteidigung
{BET_NOT_ENOUGH_FACTIONS}					Es müssen in der Schlacht zumindest zwei Seiten vertreten sein.
{BET_FACTION_MUST_HAVE_1_ARMY}					Seite muss über mindestens eine Armee verfügen
{BET_ARMY_HAS_NO_UNITS}						Eine Armee hat keine Einheiten
{BET_ARMY_HAS_NO_GENERALS_UNIT}						Diese Armee muss über eine Einheit verfügen, die den General unterstützt (schauen Sie sich die Typbeschreibungen 'Generalseinheit' in der Einheitenliste an).
{BET_FACTION_NOT_IN_ALLIANCE}					Diese Seite befindet sich nicht in einem Bündnis, muss sie jedoch. Jegliche Einheitenskripte gehen verloren.
{BET_UNIT_OUTSIDE_DEPLOYMENT_AREA}					Diese Einheit befindet sich nicht in einem Positionierungsbereich.
{BET_NO_HOME_FACTION_SET}					Die Heim-Seite muss festgelegt werden (Heim-Seite im Dialog Siegbedingungen festlegen).
{BET_NEED_TWO_ALLIANCES}					Es müssen mindestens zwei Bündnisse pro Schlacht vorhanden sein. Legen Sie diese im Dialog Siegbedingungen fest.
{BET_ALLIANCE_WITH_NO_CONDITIONS}					Jedes Bündnis muss über mindestens eine Siegbedingung verfügen.
{BET_DURATION_SET_TO_ZERO}					Die Dauer der Schlacht ist momentan auf 0 Stunden eingestellt.
