¬ Text file converted with loc_parser
{baggage_train}		Tross-Wagen
{cavalry_barracks}	Kavallerieställe
{eastern_cavalry_barracks}	Kavallerieställe
{eastern_hippodrome}	Elite-Kavallerieställe
{egyptian_cavalry_barracks}	Kavallerieställe
{egyptian_governors_palace}	Statthalterpalast
{egyptian_hippodrome}		Elite-Kavallerieställe
{egyptian_shrine}		Schrein
{egyptian_temple}		Tempel
{forum}				Forum
{great_forum}			Großes Forum
{greek_governors_palace}	Statthalterpalast
{greek_large_marketplace}	Agora
{greek_marketplace}		Markt
{greek_merchants_quarter}	Händlerviertel
{greek_pro-consuls_palace}	Ratskammer
{pantheon}			Pantheon
{plaza}				Piazza
{ambient}			Gebäude
{roman_blacksmith}		Schmied
{roman_governors_palace}	Statthalterpalast
{roman_marketplace}		Markt
{roman_pro-consuls_palace}	Palast des Prokonsuls
{roman_trader}			Händler
{shrine}			Schrein
{stables}		Ställe
{trader}		Händler
{hall_large}		Große Halle
{lith}			Steinkreis
{long_house}		Langhaus
{park_building}		Nebengebäude
{hut}			Hütte
{watchtower}		Wachturm
{tent}			Zelt
{henge}			Kreis
{paddock}		Koppel
{standing_stones}	Stehende Steine
{marketplace}		Markt
{smiths_workshop}	Schmiedewerkstatt
{warlords_hold}		Kriegsherren-Versammlung
{sacred_grove}		Heiliger Hain
{sacred_circle}		Heiliger Kreis
{warriors_hold}		Kriegerversammlung
{high_kings_hall}	Thronsaal
{drinking_hall}		Trinksaal
{mead_hall}		Methalle
{hall_of_heroes}	Heldenhalle
{warlords_stable}	Kriegsherren-Stall
{great_market}		Großer Markt
{sacred_archway}	Heiliger Torbogen
{eastern_blacksmith}	Schmied
{eastern_governors_palace}	Statthalterpalast
{eastern_governors_villa}	Statthaltervilla
{eastern_imperial_palace}	Königlicher Palast
{eastern_pro-consuls_palace}	Ratskammer
{eastern_shrine}		Schrein
{eastern_temple}		Tempel
{eastern_workshop}		Werkstatt
{egyptian_eastern_merchants_quarter}	Händlerviertel
{egyptian_shrine}		Schrein
{large_temple}			Großer Tempel
{councillor's_chambers}		Ratskammer
{awesome_temple}		Eindrucksvoller Tempel
{governor's_house}		Statthaltersitz
{tree}		Baum
{vegetation}	Vegetation
{theatre}	Theater
{temple}	Tempel
{royal_palace}	Königlicher Palast
{dockyard}	Marinewerft
{ancient_obelisk}	Obelisk
{practice_range}	Übungsplatz
{archery_range}		Schützenplatz
{catapult_range}	Katapultplatz
{siege_engineer}	Belagerungsingenieur
{academy}		Akademie
{city_barracks}		Stadtkaserne
{ludus_magna}		Schola Magna
{militia_barracks}	Wehrkaserne
{scriptorium}		Scriptorium
{camel_stables}		Kamelställe
{governor's_villa}	Statthaltervilla
{pharoah's_palace}	Palast des Pharao
{bazaar}		Basar
{tomb}			Grab
{huge_city}		Metropole
{pyramid}		Pyramide
{governor's_house}	Statthaltersitz
{elite_cavalry_stables}	Elite-Kavallerieställe
{ruined_temple}		Tempelruine
{bath_house}		Öffentliche Bäder
{circus_maximus}	Circus Maximus
{colosseum}		Kolosseum
{large_city}		Großestadt
{hippodrome}		Hippodrom
{barracks}		Kaserne
{country_villa}		Landvilla
{farm}			Farm
{governor's_house}	Statthaltersitz
{imperial_palace}	Reichspalast
{sarcophagus}		Sarkophag
{arena}			Arena
{amphitheatre}		Amphitheater
{onager}	Onager
{siege_tower}	Belagerungsturm
{ballista}	Balliste
{sphinx}	Sphinx
{great_sphinx}	Die Pyramiden von Gizeh
{temple_of_zeus}	Die Zeusstatue von Olympia
{temple_to_artemis}	Der Tempel der Artemis in Ephesos
{mausoleum}		Das Mausoleum von Halikarnassos
{pharos}		Der Leuchtturm von Pharos in Alexandria
{colossus}		Der Koloss von Rhodos
{hanging_gardens}	Die Hängenden Gärten von Babylon
{construction_site}	Baustelle
{wall}		Mauer
{road}		Straße


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 30/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{none}					Ohne
{wagon}					Wagen
{statue}					Statue	
{triumphal_column}			Siegessäule
{triumphal_arch}				Triumphbogen



¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{sewers}				Kanalisation
{baths}					Öffentliche Bäder
{execution_square}			Hinrichtungsstätte
{secret_police_hq}			Geheimpolizei
{secret_police_network}			Geheimpolizeinetzwerk
{odeon}					Odeon
{lyceum}				Lyceum
{tavern}				Taverne
{bardic_circle}				Dichterhalle
{aqueduct}				Aquädukt
{city_plumbing}				Wasserversorgung
{grand_bazaar}				Großer Basar
{roman_armourer}			Rüstungsbauer
{roman_foundry}				Gießerei
{eastern_armourer}			Rüstungsbauer
{eastern_foundry}			Gießerei
{barbarian_blacksmith}			Schmied
{barbarian_armourer}			Rüstungsbauer
{eastern_trader}			Händler
{urban_barracks_roman}			Städtische Kaserne
{urban_barracks_egyptian}		Städtische Kaserne
{urban_barracks_eastern}		Städtische Kaserne
{royal_cavalry_stables}			Kavallerieställe
{temple_city}				Tempelstadt
{temple_complex}			Tempelkomplex

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
