¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ Alemannen, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Das Haus der Julier
{ROMANS_BRUTII}					Das Haus der Bruti
{ROMANS_SCIPII}					Das Haus der Scipionen
{ROMANS_SENATE}					S.P.Q.R.
{MACEDON}					Makedonien
{EGYPT}					Ägypten
{SELEUCID}					Das seleukidische Reich
{CARTHAGE}					Karthago
{PARTHIA}					Parthien
{PONTUS}					Pontus
{GAULS}					Gallien
{GERMANS}					Germanien
{BRITONS}					Britannien
{ARMENIA}					Armenien
{DACIA}					Dakien
{GREEK_CITIES}					Die griechischen Städte
{NUMIDIA}					Numidien
{SCYTHIA}					Skythien
{SPAIN}					Spanien
{THRACE}							Thrakien
{SLAVE}							Rebellen
{ALEMANNI}							Alemannen
{EMPIRE_EAST}						Römer (Östliches Reich)
{EMPIRE_WEST}						Römer (Westliches Reich)
{EMPIRE_EAST_REBELS}					Römer (Östliches Reich-Rebellen)
{EMPIRE_WEST_REBELS}					Römer (Westliches Reich-Rebellen)
{FRANKS}							Franken
{HUNS}						Hunnen
{SARMATIANS}						Sarmaten
{SASSANIDS}							Sassaniden
{SAXONS}							Sachsen
{VANDALS}							Wandalen
{GOTHS}							Gothen
{CELTS}							Kelten
{WHITE_HUNS}						Weiße Hunnen
{OSTROGOTHS}						Ostgothen
{ROMANO_BRITISH}					Romano-Briten
{SLAVS}								Slawen
{MOORS}							Mauren
{BERBERS}							Berber

¬Culture Names
{ROMAN}					Römer
{BARBARIAN}					Barbaren
{CARTHAGINIAN}				Karthager
{GREEK}					Griechen
{EGYPTIAN}					Ägypter
{EASTERN}					Östlich
{NOMAD}					Nomaden
{HUN}						Hunnen

{EMT_ROMANS_JULII_SPY}					Römischer Spion (Julier)
{EMT_ROMANS_JULII_ASSASSIN}					Römischer Attentäter (Julier)
{EMT_ROMANS_JULII_DIPLOMAT}					Römischer Diplomat (Julier)
{EMT_ROMANS_JULII_ADMIRAL}					Römischer Flottenverband (Julier)
{EMT_ROMANS_JULII_GENERAL}					Römische Armee (Julier)
{EMT_ROMANS_JULII_NAMED_CHARACTER}					Römisches Familienmitglied (Julier)
{EMT_ROMANS_BRUTII_SPY}					Römischer Spion (Bruti)
{EMT_ROMANS_BRUTII_ASSASSIN}					Römischer Attentäter (Bruti)
{EMT_ROMANS_BRUTII_DIPLOMAT}					Römischer Diplomat (Bruti)
{EMT_ROMANS_BRUTII_ADMIRAL}					Römischer Flottenverband (Bruti)
{EMT_ROMANS_BRUTII_GENERAL}					Römische Armee (Bruti)
{EMT_ROMANS_BRUTII_NAMED_CHARACTER}					Römisches Familienmitglied (Bruti)
{EMT_ROMANS_SCIPII_SPY}					Römischer Spion (Scipionen)
{EMT_ROMANS_SCIPII_ASSASSIN}					Römischer Attentäter (Scipionen)
{EMT_ROMANS_SCIPII_DIPLOMAT}					Römischer Diplomat (Scipionen)
{EMT_ROMANS_SCIPII_ADMIRAL}					Römischer Flottenverband (Scipionen)
{EMT_ROMANS_SCIPII_GENERAL}					Römische Armee (Scipionen)
{EMT_ROMANS_SCIPII_NAMED_CHARACTER}					Römisches Familienmitglied (Scipionen)
{EMT_ROMANS_SENATE_SPY}					Römischer Spion (Senat)
{EMT_ROMANS_SENATE_ASSASSIN}					Römischer Attentäter (Senat)
{EMT_ROMANS_SENATE_DIPLOMAT}					Römischer Diplomat (Senat)
{EMT_ROMANS_SENATE_ADMIRAL}					Römischer Flottenverband (Senat)
{EMT_ROMANS_SENATE_GENERAL}					Römische Armee (Senat)
{EMT_ROMANS_SENATE_NAMED_CHARACTER}					Römisches Familienmitglied (Senat)
{EMT_MACEDON_SPY}					Makedonischer Spion
{EMT_MACEDON_ASSASSIN}					Makedonischer Attentäter
{EMT_MACEDON_DIPLOMAT}					Makedonischer Diplomat
{EMT_MACEDON_ADMIRAL}					Makedonischer Flottenverband
{EMT_MACEDON_GENERAL}					Makedonische Armee
{EMT_MACEDON_NAMED_CHARACTER}					Makedonisches Familienmitglied
{EMT_EGYPT_SPY}					Ägyptischer Spion
{EMT_EGYPT_ASSASSIN}					Ägyptischer Attentäter
{EMT_EGYPT_DIPLOMAT}					Ägyptischer Diplomat
{EMT_EGYPT_ADMIRAL}					Ägyptischer Flottenverband
{EMT_EGYPT_GENERAL}					Ägyptische Armee
{EMT_EGYPT_NAMED_CHARACTER}					Ägyptisches Familienmitglied
{EMT_SELEUCID_SPY}					Seleukidischer Spion
{EMT_SELEUCID_ASSASSIN}					Seleukidischer Attentäter
{EMT_SELEUCID_DIPLOMAT}					Seleukidischer Diplomat
{EMT_SELEUCID_ADMIRAL}					Seleukidischer Flottenverband
{EMT_SELEUCID_GENERAL}					Seleukidische Armee
{EMT_SELEUCID_NAMED_CHARACTER}					Seleukidisches Familienmitglied
{EMT_CARTHAGE_SPY}					Karthagischer Spion
{EMT_CARTHAGE_ASSASSIN}					Karthagischer Attentäter
{EMT_CARTHAGE_DIPLOMAT}					Karthagischer Diplomat
{EMT_CARTHAGE_ADMIRAL}					Karthagischer Flottenverband
{EMT_CARTHAGE_GENERAL}					Karthagische Armee
{EMT_CARTHAGE_NAMED_CHARACTER}					Karthagisches Familienmitglied
{EMT_PARTHIA_SPY}					Parthischer Spion
{EMT_PARTHIA_ASSASSIN}					Parthischer Attentäter
{EMT_PARTHIA_DIPLOMAT}					Parthischer Diplomat
{EMT_PARTHIA_ADMIRAL}					Parthischer Flottenverband
{EMT_PARTHIA_GENERAL}					Parthische Armee
{EMT_PARTHIA_NAMED_CHARACTER}					Parthisches Familienmitglied
{EMT_PONTUS_SPY}					Pontischer Spion
{EMT_PONTUS_ASSASSIN}					Pontischer Attentäter
{EMT_PONTUS_DIPLOMAT}					Pontischer Diplomat
{EMT_PONTUS_ADMIRAL}					Pontischer Flottenverband
{EMT_PONTUS_GENERAL}					Pontische Armee
{EMT_PONTUS_NAMED_CHARACTER}					Pontisches Familienmitglied
{EMT_GAULS_SPY}					Gallischer Spion
{EMT_GAULS_ASSASSIN}					Gallischer Attentäter
{EMT_GAULS_DIPLOMAT}					Gallischer Diplomat
{EMT_GAULS_ADMIRAL}					Gallischer Flottenverband
{EMT_GAULS_GENERAL}					Gallische Armee
{EMT_GAULS_NAMED_CHARACTER}					Gallisches Familienmitglied
{EMT_GERMANS_SPY}					Germanischer Spion
{EMT_GERMANS_ASSASSIN}					Germanischer Attentäter
{EMT_GERMANS_DIPLOMAT}					Germanischer Diplomat
{EMT_GERMANS_ADMIRAL}					Germanischer Flottenverband
{EMT_GERMANS_GENERAL}					Germanische Armee
{EMT_GERMANS_NAMED_CHARACTER}					Germanisches Familienmitglied
{EMT_BRITONS_SPY}					Britannischer Spion
{EMT_BRITONS_ASSASSIN}					Britannischer Attentäter
{EMT_BRITONS_DIPLOMAT}					Britannischer Diplomat
{EMT_BRITONS_ADMIRAL}					Britannischer Flottenverband
{EMT_BRITONS_GENERAL}					Britannische Armee
{EMT_BRITONS_NAMED_CHARACTER}					Britannisches Familienmitglied
{EMT_ARMENIA_SPY}					Armenischer Spion
{EMT_ARMENIA_ASSASSIN}					Armenischer Attentäter
{EMT_ARMENIA_DIPLOMAT}					Armenischer Diplomat
{EMT_ARMENIA_ADMIRAL}					Armenischer Flottenverband
{EMT_ARMENIA_GENERAL}					Armenische Armee
{EMT_ARMENIA_NAMED_CHARACTER}					Armenisches Familienmitglied
{EMT_DACIA_SPY}					Dakischer Spion
{EMT_DACIA_ASSASSIN}					Dakischer Attentäter
{EMT_DACIA_DIPLOMAT}					Dakischer Diplomat
{EMT_DACIA_ADMIRAL}					Dakischer Flottenverband
{EMT_DACIA_GENERAL}					Dakische Armee
{EMT_DACIA_NAMED_CHARACTER}					Dakisches Familienmitglied
{EMT_GREEK_CITIES_SPY}					Griechischer Spion
{EMT_GREEK_CITIES_ASSASSIN}					Griechischer Attentäter
{EMT_GREEK_CITIES_DIPLOMAT}					Griechischer Diplomat
{EMT_GREEK_CITIES_ADMIRAL}					Griechischer Flottenverband
{EMT_GREEK_CITIES_GENERAL}					Griechische Armee
{EMT_GREEK_CITIES_NAMED_CHARACTER}					Griechisches Familienmitglied
{EMT_NUMIDIA_SPY}					Numidischer Spion
{EMT_NUMIDIA_ASSASSIN}					Numidischer Attentäter
{EMT_NUMIDIA_DIPLOMAT}					Numidischer Diplomat
{EMT_NUMIDIA_ADMIRAL}					Numidischer Flottenverband
{EMT_NUMIDIA_GENERAL}					Numidische Armee
{EMT_NUMIDIA_NAMED_CHARACTER}					Numidisches Familienmitglied
{EMT_SCYTHIA_SPY}					Skythischer Spion
{EMT_SCYTHIA_ASSASSIN}					Skythischer Attentäter
{EMT_SCYTHIA_DIPLOMAT}					Skythischer Diplomat
{EMT_SCYTHIA_ADMIRAL}					Skythischer Flottenverband
{EMT_SCYTHIA_GENERAL}					Skythische Armee
{EMT_SCYTHIA_NAMED_CHARACTER}					Skythisches Familienmitglied
{EMT_SPAIN_SPY}					Spanischer Spion
{EMT_SPAIN_ASSASSIN}					Spanischer Attentäter
{EMT_SPAIN_DIPLOMAT}					Spanischer Diplomat
{EMT_SPAIN_ADMIRAL}					Spanischer Flottenverband
{EMT_SPAIN_GENERAL}					Spanische Armee
{EMT_SPAIN_NAMED_CHARACTER}					Spanisches Familienmitglied
{EMT_THRACE_SPY}					Thrakischer Spion
{EMT_THRACE_ASSASSIN}					Thrakischer Attentäter
{EMT_THRACE_DIPLOMAT}					Thrakischer Diplomat
{EMT_THRACE_ADMIRAL}					Thrakischer Flottenverband
{EMT_THRACE_GENERAL}					Thrakische Armee
{EMT_THRACE_NAMED_CHARACTER}					Thrakisches Familienmitglied

{EMT_ALEMANNI_SPY}							Alemannischer Spion
{EMT_ALEMANNI_ASSASSIN}						Alemannischer Attentäter
{EMT_ALEMANNI_DIPLOMAT}						Alemannischer Diplomat
{EMT_ALEMANNI_ADMIRAL}						Alemannischer Flottenverband
{EMT_ALEMANNI_GENERAL}						Alemannische Armee
{EMT_ALEMANNI_NAMED_CHARACTER}				Alemannisches Familienmitglied

{EMT_EMPIRE_EAST_SPY}						Römischer Spion (Östliches Reich)
{EMT_EMPIRE_EAST_ASSASSIN}					Römischer Attentäter (Östliches Reich)
{EMT_EMPIRE_EAST_DIPLOMAT}					Römischer Diplomat (Östliches Reich)
{EMT_EMPIRE_EAST_ADMIRAL}					Römischer Flottenverband (Östliches Reich)
{EMT_EMPIRE_EAST_GENERAL}					Römische Armee (Östliches Reich)
{EMT_EMPIRE_EAST_NAMED_CHARACTER}			Römisches Familienmitglied (Östliches Reich)

{EMT_EMPIRE_WEST_SPY}						Römischer Spion (Westliches Reich)
{EMT_EMPIRE_WEST_ASSASSIN}					Römischer Attentäter (Westliches Reich)
{EMT_EMPIRE_WEST_DIPLOMAT}					Römischer Diplomat (Westliches Reich)
{EMT_EMPIRE_WEST_ADMIRAL}					Römischer Flottenverband (Westliches Reich)
{EMT_EMPIRE_WEST_GENERAL}					Römische Armee (Westliches Reich)
{EMT_EMPIRE_WEST_NAMED_CHARACTER}			Römisches Familienmitglied (Westliches Reich)

{EMT_EMPIRE_EAST_REBELS_SPY}						Römischer Spion (Östliches Reich-Rebellen)
{EMT_EMPIRE_EAST_REBELS_ASSASSIN}					Römischer Attentäter (Östliches Reich-Rebellen)
{EMT_EMPIRE_EAST_REBELS_DIPLOMAT}					Römischer Diplomat (Östliches Reich-Rebellen)
{EMT_EMPIRE_EAST_REBELS_ADMIRAL}					Römischer Flottenverband (Östliches Reich-Rebellen)
{EMT_EMPIRE_EAST_REBELS_GENERAL}					Römische Armee (Östliches Reich-Rebellen)
{EMT_EMPIRE_EAST_REBELS_NAMED_CHARACTER}			Römisches Familienmitglied (Östliches Reich-Rebellen)

{EMT_EMPIRE_WEST_REBELS_SPY}						Römischer Spion (Westliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_ASSASSIN}					Römischer Attentäter (Westliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_DIPLOMAT}					Römischer Diplomat (Westliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_ADMIRAL}					Römischer Flottenverband (Westliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_GENERAL}					Römische Armee (Westliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_NAMED_CHARACTER}			Römisches Familienmitglied (Westliches Reich-Rebellen)

{EMT_FRANKS_SPY}							Fränkischer Spion
{EMT_FRANKS_ASSASSIN}						Fränkischer Attentäter
{EMT_FRANKS_DIPLOMAT}						Fränkischer Diplomat
{EMT_FRANKS_ADMIRAL}						Fränkischer Flottenverband
{EMT_FRANKS_GENERAL}						Fränkische Armee
{EMT_FRANKS_NAMED_CHARACTER}				Fränkisches Familienmitglied

{EMT_HUNS_SPY}						Hunnischer Spion
{EMT_HUNS_ASSASSIN}					Hunnischer Attentäter
{EMT_HUNS_DIPLOMAT}					Hunnischer Diplomat
{EMT_HUNS_ADMIRAL}					Hunnischer Flottenverband
{EMT_HUNS_GENERAL}					Hunnische Armee
{EMT_HUNS_NAMED_CHARACTER}			Hunnisches Familienmitglied

{EMT_SARMATIANS_SPY}						Sarmatischer Spion
{EMT_SARMATIANS_ASSASSIN}					Sarmatischer Attentäter
{EMT_SARMATIANS_DIPLOMAT}					Sarmatischer Diplomat
{EMT_SARMATIANS_ADMIRAL}					Sarmatischer Flottenverband
{EMT_SARMATIANS_GENERAL}					Sarmatische Armee
{EMT_SARMATIANS_NAMED_CHARACTER}			Sarmatisches Familienmitglied

{EMT_SASSANIDS_SPY}							Sassanidischer Spion
{EMT_SASSANIDS_ASSASSIN}					Sassanidischer Attentäter
{EMT_SASSANIDS_DIPLOMAT}					Sassanidischer Diplomat
{EMT_SASSANIDS_ADMIRAL}						Sassanidischer Flottenverband
{EMT_SASSANIDS_GENERAL}						Sassanidische Armee
{EMT_SASSANIDS_NAMED_CHARACTER}				Sassanidisches Familienmitglied

{EMT_SAXONS_SPY}							Sächsischer Spion
{EMT_SAXONS_ASSASSIN}						Sächsischer Attentäter
{EMT_SAXONS_DIPLOMAT}						Sächsischer Diplomat
{EMT_SAXONS_ADMIRAL}						Sächsischer Flottenverband
{EMT_SAXONS_GENERAL}						Sächsische Armee
{EMT_SAXONS_NAMED_CHARACTER}				Sächsisches Familienmitglied

{EMT_VANDALS_SPY}							Wandalischer Spion
{EMT_VANDALS_ASSASSIN}						Wandalischer Attentäter
{EMT_VANDALS_DIPLOMAT}						Wandalischer Diplomat
{EMT_VANDALS_ADMIRAL}						Wandalischer Flottenverband
{EMT_VANDALS_GENERAL}						Wandalische Armee
{EMT_VANDALS_NAMED_CHARACTER}				Wandalisches Familienmitglied

{EMT_GOTHS_SPY}							Gotischer Spion
{EMT_GOTHS_ASSASSIN}					Gotischer Attentäter
{EMT_GOTHS_DIPLOMAT}					Gotischer Diplomat
{EMT_GOTHS_ADMIRAL}						Gotischer Flottenverband
{EMT_GOTHS_GENERAL}						Gotische Armee
{EMT_GOTHS_NAMED_CHARACTER}				Gotisches Familienmitglied

{EMT_WHITE_HUNS_SPY}						Weiß-hunnischer Spion
{EMT_WHITE_HUNS_ASSASSIN}					Weiß-hunnischer Attentäter
{EMT_WHITE_HUNS_DIPLOMAT}					Weiß-hunnischer Diplomat
{EMT_WHITE_HUNS_ADMIRAL}					Weiß-hunnischer Flottenverband
{EMT_WHITE_HUNS_GENERAL}					Weiß-hunnische Armee
{EMT_WHITE_HUNS_NAMED_CHARACTER}			Weiß-hunnisches Familienmitglied

{EMT_OSTROGOTHS_SPY}						Ostgotischer Spion
{EMT_OSTROGOTHS_ASSASSIN}					Ostgotischer Attentäter
{EMT_OSTROGOTHS_DIPLOMAT}					Ostgotischer Diplomat
{EMT_OSTROGOTHS_ADMIRAL}					Ostgotischer Flottenverband
{EMT_OSTROGOTHS_GENERAL}					Ostgotische Armee
{EMT_OSTROGOTHS_NAMED_CHARACTER}			Ostgotisches Familienmitglied

{EMT_ROMANO_BRITISH_SPY}					Romano-britischer Spion
{EMT_ROMANO_BRITISH_ASSASSIN}				Romano-britischer Attentäter
{EMT_ROMANO_BRITISH_DIPLOMAT}				Romano-britischer Diplomat
