¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Römisch
{SMT_CULTURE_BARBARIAN}			Barbarisch
{SMT_CULTURE_CARTHAGE}				Karthagisch
{SMT_CULTURE_GREEK}				Griechisch
{SMT_CULTURE_EGYPT}				Ägyptisch
{SMT_CULTURE_EASTERN}				Östlich
{SMT_END_TURN}					Runde beenden
{SMT_SABOTAGE}					Sabotage
{SMT_ASSASSINATE}				Attentat verüben
{SMT_SETTLEMENTS}				Siedlungen
{SMT_CAPITAL}					Hauptstadt
{SMT_ALLIES}					Verbündete
{SMT_ENEMIES}					Feinde
{SMT_SUSPICIOUS}				Verdächtig
{SMT_NEUTRAL}					Neutral
{SMT_HOSTILE}					Feindlich
{SMT_AT_WAR}					Im Krieg
{SMT_NIGHT_ATTACK}				Nachtangriff versuchen
{SMT_TRADE_RIGHTS}				Handelsrechte
{SMT_SIEGE}					Belagern
{SMT_ASSAULT}					Siedlung angreifen
{SMT_END_SIEGE}					Belagerung abbrechen
{SMT_AGE}					Alter
{SMT_LOYALTY}					Loyalität
{SMT_GOVERNOR}					Statthalter
{SMT_GARRISON}					Garnison
{SMT_RECRUITMENT_COST}				Rekrutierungskosten:
{SMT_RECRUITMENT_TIME}				Rekrutierungszeit:
{SMT_RETRAIN_TIME}				Fortbildungszeit:
{SMT_RETRAIN_COST}				Fortbildungskosten:
{SMT_FIGHT_BATTLE}				Schlacht auf Schlachtkarte austragen
{SMT_WITHDRAW}				Aus Schlacht zurückziehen
{SMT_AUTORESOLVE}				Schlacht automatisch entscheiden
{SMT_DISBAND}					Einheit auflösen\nLandeinheiten können nur in der Heimatregion, Seeeinheiten nur im Hafen aufgelöst werden;\nGeneralseinheiten können nicht aufgelöst werden.
{SMT_DOCTOR_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_QUARTERMASTER_DESCR}			THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_PRIEST_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_SCOUT_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_ENGINEER_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
