¬ Text file converted with loc_parser
{TMT_SETTLEMENT_INCOME}					Siedlungseinkommen
{TMT_LOYALTY_TOOLTIP_REVOLTING}					Loyalität: Revoltierend
{TMT_LOYALTY_TOOLTIP_RIOTING}					Loyalität: Aufständisch
{TMT_LOYALTY_TOOLTIP_DISILLUSIONED}					Loyalität: Desillusioniert
{TMT_LOYALTY_TOOLTIP_CONTENT}					Loyalität: Zufrieden
{TMT_LOYALTY_TOOLTIP_HAPPY}					Loyalität: Glücklich
{TMT_GROWTH_TOOLTIP_GROWTH}					Bevölkerung: Zunahme
{TMT_GROWTH_TOOLTIP_STATIC}					Bevölkerung: Kein Wachstum
{TMT_GROWTH_TOOLTIP_DECLINING}					Bevölkerung: Abnahme
{TMT_SETTLEMENT_STATUS_TRAINING}					Bildet momentan Einheiten aus
{TMT_SETTLEMENT_STATUS_BUILDING}					Baut momentan Gebäude
{TMT_LCLICK_FOR_BUILD_OPTIONS}					Linksklick zur Ansicht von Aufrüstungsoptionen dieses Gebäudes
{TMT_CONSTRUCTION_HELP}					Linksklick zum Hinzufügen zur Liste, Rechtsklick für Informationen
{TMT_CONSTRUCTION_REMOVE_HELP}					Linksklick zum Entfernen aus der Liste
{TMT_COST_OF_CONSTRUCTION}					Baukosten des Objekts
{TMT_TIME_TO_CONSTRUCT}					Anzahl der Runden zum Bau des Objekts
{TMT_COST_OF_RECRUITMENT_UNIT}					Kosten zum Rekrutieren der Einheit
{TMT_TIME_TO_RECRUIT}					Anzahl der Runden zur Ausbildung
{TMT_SEASON_SUMMER}					Sommer
{TMT_SEASON_WINTER}					Winter
{TMT_REMAINING_ACTION_POINTS}					Bewegungspunkte\nDie dunkelblaue Leiste stellt verbleibende Punkte dar\nDer hellblaue Abschnitt stellt die Auswirkung\nauf Bewegungspunkte dar, wenn die momentane\nAktion durchgeführt wird
{TMT_ACCEPT_FIELD_CONSTRUCTION}					Gewähltes Objekt bauen
{TMT_CANCEL_FIELD_CONSTRUCTION}					Nichts bauen
{TMT_BUILD_FORT_OR_WATCHTOWER}					Fort oder Wachturm bauen
{TMT_CANNOT_BUILD_FORT_OR_WATCHTOWER}					Kann Fort oder Wachturm hier nicht bauen
{TMT_CANNOT_ATTACK_FROM_SIEGED_SETTLEMENT}					Belagernde Armeen können nur von einer belagerten Garnison angegriffen werden
{TMT_SHOW_GENERAL_UNIT_DETAILS}					Einheitendetails der Leibwächtereinheit dieses Charakters anzeigen
{TMT_LCLICK_SELECT}					Linksklick zur Auswahl
{TMT_RCLICK_INFO}					Rechtsklick für weitere Informationen
{TMT_LDBL_CLICK_INFO}					Doppelter Linksklick für weitere Informationen
{TMT_CURSOR_ATTACK}					Rechtsklick zum Angriff
{TMT_CURSOR_MOVE}					Rechtsklick, um in Position zu gehen
{TMT_CURSOR_SELECT}					Rechtsklick zur Auswahl
{TMT_CURSOR_MOVE_MAP}					Karte scrollen
{TMT_CURSOR_MOUSE_LOOK}					Mausblick
{TMT_CURSOR_CLICK_DOWN}					Klicken
{TMT_CURSOR_EXCHANGE}					Rechtsklick zum Austausch von Einheiten und Charakteren 
{TMT_CURSOR_DEFAULT_ACTION}					Rechtsklick zum Durchführen der Mission
{TMT_CURSOR_NO_ACTION}					Keine Aktion auf diesem Ziel möglich
{TMT_CURSOR_ENTER_SETTLEMENT}					Rechtsklick zum Betreten der Siedlung
{TMT_CURSOR_DISEMBARK}					Rechtsklick zum Entladen
{TMT_CURSOR_SET_RALLY_POINT}					Rechtsklick zum Festlegen des Sammelpunkts der Siedlung
{TMT_CURSOR_AUTO_MERGE}					Rechtsklick zum automatischen Zusammenführen von Einheiten 
{TMT_NO_MULTITURN_MISSIONS}					Angreifen oder durchführen von Missionen nicht über mehrere Runden möglich
{TMT_NO_MULTITURN_EXCHANGES}					Zusammenführen oder Austauschen von Einheiten nicht über mehrere Runden möglich
{TMT_SIEGE_EQUIPMENT_NOT_REQUIRED}					Der Bau dieser Belagerungsausrüstung ist nicht erforderlich
{TMT_NO_DIPLOMACY_WITH_REBELS}					Diplomatie ist nicht mit Rebellen möglich
{TMT_SILVER_TOOLTIP}					Silberminen können in der nahegelegenen Siedlung gebaut werden
{TMT_GOLD_TOOLTIP}					Goldminen können in der nahegelegenen Siedlung gebaut werden
{TMT_IRON_TOOLTIP}					Eisen - eine wertvolle Handelsressource
{TMT_GRAIN_TOOLTIP}					Korn - eine wertvolle Ressource\nSorgt für Bevölkerungswachstum beim Exportziel
{TMT_OLIVE_OIL_TOOLTIP}					Olivenöl - eine wertvolle Handelsressource
{TMT_WINE_TOOLTIP}					Wein - eine wertvolle Handelsressource
{TMT_SLAVES_TOOLTIP}					Sklaven - eine wertvolle Ressource\nSorgt für Bevölkerungswachstum beim Exportziel
{TMT_GLASS_TOOLTIP}					Glas - eine wertvolle Handelsressource
{TMT_POTTERY_TOOLTIP}					Töpferwaren - eine wertvolle Handelsressource
{TMT_TIMBER_TOOLTIP}					Holz - eine wertvolle Handelsressource
{TMT_MARBLE_TOOLTIP}					Marmor  - eine wertvolle Handelsressource
{TMT_TEXTILES_TOOLTIP}					Textilien  - eine wertvolle Handelsressource
{TMT_PURPLE_DYE_TOOLTIP}					Purpurfarbe  - eine wertvolle Handelsressource
{TMT_INCENSE_TOOLTIP}					Weihrauch - eine wertvolle Handelsressource
{TMT_SILK_TOOLTIP}					Seide - eine wertvolle Handelsressource
{TMT_WILD_ANIMALS_TOOLTIP}					Wilde Tiere - eine wertvolle Handelsressource
{TMT_HIDES_TOOLTIP}					Häute - eine wertvolle Handelsressource
