¬ Text file converted with loc_parser
{BET_CREATE_NEW_ARMY}					Elabora dettagli armata
{BET_SELECT_FACTION}					Seleziona fazione
{BET_IS_ATTACKER}						Attaccante?
{BET_IS_REINFORCEMENT}					Rinforzo?
{BET_TIME_TO_REINFORCE}					Arriva tra %d ore
{BET_ONE_HOUR_TO_REINFORCE}				Arriva tra 1 ora
{BET_CREATE_NEW_UNIT}					Elabora dettagli unità
{BET_UNIT_SIZE}							Dimensione unità
{BET_EXPERIENCE}						Esperienza
{BET_PRI_WPN_LVL}						Qualità armi
{BET_ARMOUR_LVL}						Qualità armature
{BET_CAN_WITHDRAW}						Può ritirarsi
{BET_SUPPORTING_ARMIES}					Armate di supporto
{BET_GENERAL}							Generale
{BET_NAME}								Nome
{BET_AGE}								Età
{BET_CREATE_DEPLOYMENT}					Crea zone di schieramento\nPer creare zone di schieramento è necessario selezionare un'armata\nSeleziona almeno tre punti per definire una zona\nI segnali si possono spostare quando il puntatore è evidenziato\nTieni premuto il tasto Maiusc e sposta il segnale evidenziato per spostare l'intera zona
{BET_EDIT_HEIGHTS}						Elabora rilievi territoriali
{BET_EDIT_TEXTURES}						Elabora texture territoriali
{BET_UPDATE_TREES}						Aggiorna zone boschive\nAggiungi o togli alberi con lo strumento texture territoriali\nquindi clicca qui per aggiornare 
{BET_EDIT_SETTLEMENT}					Inserisci insediamento e strutture\nÈ possibile collocare un solo insediamento principale per mappa\nSposta gli insediamenti collocati in modalità 'modelli'
{BET_PLACE_LANDSCAPE_FEATURES}			Colloca e sposta i modelli\nColloca il modello quando la sua area d'ingombro è verde\nRuota il piazzamento con i due pulsanti inferiori\nElimina il modello con il pulsante destro del mouse\nI modelli posizionati si possono spostare trascinandoli in una nuova posizione dopo averli selezionati
{BET_EDIT_ARMIES}						Crea armata
{BET_EDIT_UNITS}						Crea/modifica unità\nPer aggiungere unità è necessario selezionare un'armata o un'unità\nAggiungi unità in una zona di schieramento\nClicca giù e sposta il mouse a sinistra o a destra per cambiare orientamento dell'unità e profondità della formazione
{BET_START_TIME}						Orario d'inizio
{BET_EDIT_UNIT_SCRIPT}					Elabora script IA unità
{BET_DELETE_FACTION_CONFIRMATION}		L'eliminazione di una fazione comporta la perdita di tutte le armate, personaggi, zone di schieramento e unità a essa associate. Sei sicuro di voler eseguire questa operazione?
{BET_DELETE_ARMY_CONFIRMATION}			L'eliminazione di un'armata comporta la perdita di tutti i personaggi, unità e zone di schieramento ad essa associate. Sei sicuro di voler eseguire questa operazione?
{BET_DELETE_UNIT_CONFIRMATION}			L'eliminazione di un'unità comporta la perdita di tutti i dati a essa associati. Sei sicuro di voler eseguire questa operazione?
{BET_DELETE_CHARACTER_CONFIRMATION}		L'eliminazione di un personaggio comporta la perdita di tutti i dati di unità/armate a lui associate. Sei sicuro di voler eseguire questa operazione?
{BET_DELETE_SETTLEMENT_CONFIRMATION}	Sei sicuro di voler eliminare questo insediamento?
{BET_CONFIRM_DELETE}					Conferma eliminazione
{BET_SET_VICTORY_CONDITIONS}			Stabilisci condizioni di vittoria
{BET_CONDITIONS}						Condizioni
{BET_BATTLE_DURATION}					Tempo limite (ore):
{BET_ADD_CONDITION}						Aggiungi nuova condizione
{BET_DELETE_CONDITION}				Elimina condizione
{BET_ILLEGAL_DEPLOYMENT_AREA}			L'area di schieramento determinata da questi punti non è valida. Seleziona Annulla per modificare i punti o Accetta per liberare tutta la zona.
{BET_ERROR}								Errore
{BET_MODEL_TYPE_GENERAL}				Modelli territoriali generali
{BET_MODEL_TYPE_RIVERS}					Modelli fluviali
{BET_MODEL_TYPE_AMBIENT_SETTLEMENT}		Modelli di insediamenti
{BET_MODEL_TYPE_SPECIAL}				Modelli speciali
{BET_EDIT_BATTLE_DETAILS}				Elabora dettagli battaglia
{BET_IS_NIGHT_BATTLE}					Battaglia notturna?
{BET_IS_AMBUSH}							Imboscata?
{BET_ENTER_DESCRIPTION}					Inserisci la descrizione della battaglia
{BET_EDIT_CHARACTER}					Elabora personaggio
{BET_SELECT_CHARACTER_TYPE}				Tipo di personaggio
{BET_EDIT_CHARACTER_RECORD}				Elabora dati personaggio
{BET_IS_MALE}							Maschio?
{BET_CREATE_CHARACTER}					Crea nuovo personaggio
{BET_CREATE_SETTLEMENT}					Crea nuovo insediamento
{BET_MOVE_ITEM}							Sposta elemento
{BET_EDIT_FAMILY}						Elabora albero genealogico\nBisogna selezionare una fazione per elaborare l'albero genealogico
{BET_EDIT_CLIMATES}						Elabora mappa climatica
{BET_EDIT_GROUND_TYPES}					Elabora tipi di terreno
{BET_CREATE_CHARACTER_RECORD}			Crea scheda personaggio femminile o neonato
{BET_ADD_CHILD}							Aggiungi come figlio
{BET_ADD_SPOUSE}						Aggiungi come sposa
{BET_REMOVE_RELATIVE}					Interrompi relazione
{BET_EDIT_RESOURCE}						Elabora risorse, forti e torri di guardia
{BET_EDIT_RIVERS}						Elabora paesaggio
{BET_EDIT_TRADE_ROUTES}					Elabora tragitti commerciali
{BET_SELECT_RESOURCE}					Seleziona risorse e livello
{BET_ADD_UNITS}						Aggiungi unità all'armata
{BET_REMOVE_UNITS}						Togli unità selezionata
{BET_GARRISONED}						Presidiato
{BET_CREATE_ALLIANCES}					Crea alleanze
{BET_SELECT_ALLIANCE}					Seleziona alleanza
{BET_DELETE_ALLIANCE}					Elimina alleanza
{BET_CAN_WAIT}							Può aspettare\nle armate di questa alleanza possono ritardare l'inizio della battaglia
{BET_CAN_DEPLOY}						Può schierare\nle armate di questa alleanza possono disporre le truppe in fase di schieramento
{BET_CAN_VIEW}							Può vedere\nle armate di questa alleanza possono vedere il campo di battaglia prima della fase di schieramento
{BET_SELECT_HOME_FACTION}				Seleziona fazione di casa
{BET_WEATHER_SEED}						Seme meteorologico
{BET_GENERATE_RANDOM_SEED}				Genera nuovo seme
{BET_WALL_SIZE_NORMAL}					Normale
{BET_WALL_SIZE_LARGE}					Grande
{BET_WALL_SIZE_HUGE}					Enorme
{BET_WALL_LEVEL}						Livello mura
{BET_TOWERS_NORMAL}						Torri di guardia
{BET_TOWERS_ARROW}						Torri con archi
{BET_TOWERS_BALLISTA}					Torri con balista
{BET_TOWER_LEVEL}						Livello torri
{BET_GATES_0}							Legno
{BET_GATES_1}							Legno rinforzato
{BET_GATES_2}							Ferrata
{BET_GATE_LEVEL}						Livello porta
{BET_GATE_DEFENCES_NONE}				Nessuno
{BET_GATE_DEFENCES_SAND}				Sabbia rovente
{BET_GATE_DEFENCES_OIL}					Olio bollente
{BET_GATE_DEFENCES_LEVEL}				Difese della porta
{BET_NOT_ENOUGH_FACTIONS}				Devono esserci almeno due fazioni per battaglia
{BET_FACTION_MUST_HAVE_1_ARMY}			La fazione deve avere un'armata
{BET_ARMY_HAS_NO_UNITS}					Un'armata non ha unità al suo interno
{BET_ARMY_HAS_NO_GENERALS_UNIT}			Quest'armata deve avere un'unità capace di proteggere il generale (cerca la voce 'unità del generale' nell'elenco unità)
{BET_FACTION_NOT_IN_ALLIANCE}			Questa fazione non fa parte di un'alleanza come dovrebbe. Qualunque script di unità andrà perso
{BET_UNIT_OUTSIDE_DEPLOYMENT_AREA}		Questa unità non si trova in una zona di schieramento
{BET_NO_HOME_FACTION_SET}				È necessario designare la fazione di casa (designa la fazione di casa nel pannello delle condizioni di vittoria)
{BET_NEED_TWO_ALLIANCES}				Devono esistere almeno due alleanze per battaglia. Impostale dal pannello delle condizioni di vittoria.
