¬ Text file converted with loc_parser
{baggage_train}		Carro delle salmerie
{cavalry_barracks}	Scuderie
{eastern_cavalry_barracks}	Scuderie
{eastern_hippodrome}	Scuderie nobiliari
{egyptian_cavalry_barracks}	Scuderie
{egyptian_governors_palace}	Palazzo del governatore
{egyptian_hippodrome}		Scuderie nobiliari
{egyptian_shrine}		Altare
{egyptian_temple}		Tempio
{forum}				Foro
{great_forum}			Foro urbano
{greek_governors_palace}	Palazzo del governatore
{greek_large_marketplace}	Agorà
{greek_marketplace}		Mercato
{greek_merchants_quarter}	Quartiere dei mercanti
{greek_pro-consuls_palace}	Sala consiliare
{pantheon}			Pantheon
{plaza}				Piazza
{ambient}			Edificio
{roman_blacksmith}		Fabbro
{roman_governors_palace}	Palazzo del governatore
{roman_marketplace}		Mercato
{roman_pro-consuls_palace}	Palazzo proconsolare
{roman_trader}			Mercante
{shrine}			Altare
{stables}		Stalle
{trader}		Mercante
{hall_large}		Grande sala
{lith}			Stele
{long_house}		Casa lunga
{park_building}		Struttura annessa
{hut}			Capanna
{watchtower}		Torre di guardia
{tent}			Tenda
{henge}			Santuario pagano
{paddock}		Recinto
{standing_stones}	Monoliti
{marketplace}		Mercato
{smiths_workshop}	Officina del fabbro
{warlords_hold}		Dimora del signore guerriero
{sacred_grove}		Bosco sacro
{sacred_circle}		Circolo sacro
{warriors_hold}		Dimora del guerriero
{high_kings_hall}	Sala del Gran Re
{drinking_hall}		Sala dei boccali
{mead_hall}		Sala dell'idromele
{hall_of_heroes}	Sala degli eroi
{warlords_stable}	Stalla del signore
{great_market}		Grande mercato
{sacred_archway}	Arcata sacra
{eastern_blacksmith}	Fabbro
{eastern_governors_palace}	Palazzo del governatore
{eastern_governors_villa}	Villa del governatore
{eastern_imperial_palace}	Palazzo reale
{eastern_pro-consuls_palace}	Sala consiliare
{eastern_shrine}		Altare
{eastern_temple}		Tempio
{eastern_workshop}		Officina
{egyptian_eastern_merchants_quarter}	Quartiere dei mercanti
{egyptian_shrine}		Altare
{large_temple}			Grande tempio
{councillor's_chambers}		Sala consiliare
{awesome_temple}		Santuario
{governor's_house}		Casa del governatore
{tree}		Albero
{vegetation}	Vegetazione
{theatre}	Teatro
{temple}	Tempio
{royal_palace}	Palazzo reale
{dockyard}	Arsenale navale
{ancient_obelisk}	Obelisco
