¬ Text file converted with loc_parser
{Otadinoi}					Ribelli otadini
{Saxones}					Ribelli sassoni
{Goths}						Ribelli gotici
{Caucasians}					Ribelli caucasici
{Scythians}					Ribelli sciti
{Hibernians}					Ribelli iberni
{Sarmatians}					Ribelli sarmati
{Brigantes}					Ribelli briganti
{Rugii}						Ribelli rugi
{Roxolani}					Ribelli rossolani
{Iceni}						Ribelli iceni
{Ubii}						Ribelli ubi
{Chatti}						Ribelli catti
{Marcomanni}					Ribelli marcomanni
{Nervii}						Ribelli nervi
{Nemetes}					Ribelli nemeti
{Curiosolites}					Ribelli curiosoliti
{Sequani}						Ribelli sequani
{Boii}						Ribelli boi
{Thracians}					Ribelli traci
{Scordisci}					Ribelli scordisci 
{Carnutes}					Ribelli carnuti
{Vandals}						Ribelli vandali
{Alaunoii}						Ribelli alauni
{Greeks}						Ribelli greci
{Troglodytae}					Ribelli trogloditi
{Arabiates}					Ribelli medianiti
{Petrocori}					Ribelli petrocori 
{Vellavi}						Ribelli vellavi 
{Brouchoi}					Ribelli bruci
{Parthians}					Ribelli parti
{Helvetii}						Ribelli elvezi
{Dripsinates}					Ribelli trissinati
{Volcae_Arecomici}					Ribelli volsci arecomici
{Breuci}						Ribelli breuci 
{Korraloi}						Ribelli corrali
{Cantabri}					Ribelli cantabri
{Delmatae}					Ribelli dalmati
{Armenians}					Ribelli armeni
{Volcanaens}				Ribelli vulcani
{Viturii}						Ribelli vituri 
{Paphlagonians}					Ribelli paflagoni
{Carpetani}					Ribelli carpetani 
{Etruscans}					Ribelli etruschi
{Edetani}						Ribelli edetani 
{Umbrians}					Ribelli umbri
{Kadousoi}					Ribelli cadusi
{Celtici}						Ribelli celti
{Latins}						Ribelli latini
{Beronicensis}					Ribelli beronicensi 
{Macedonians}					Ribelli macedoni
{Getae}						Ribelli geti
{Phrygians}					Ribelli frigi
{Cappadocians}					Ribelli cappadoci 
{Iberians}						Ribelli iberici
{Calabrians}					Ribelli calabri
{Campanians}					Ribelli campani
{Bythemanoi}					Ribelli bitemani
{Lesbians}					Ribelli lesbi
{Cilicians}					Ribelli cilici
{Heruli}						Ribelli eruli
{Brutii}						Ribelli bruti
{Ionians}						Ribelli ioni
{Seleucids}					Ribelli seleucidi
{Syrians}						Ribelli siriani
{Attic}						Ribelli attici
{Lugii}						Ribelli lugi 
{Maezaei}					Ribelli mezzei
{Makatoutai}				Ribelli nasamoni
