¬ Text file converted with loc_parser
{TMT_SETTLEMENT_INCOME}					Introiti insediamento
{TMT_LOYALTY_TOOLTIP_REVOLTING}					Fedeltà: rivolta
{TMT_LOYALTY_TOOLTIP_RIOTING}					Fedeltà: tumulti
{TMT_LOYALTY_TOOLTIP_DISILLUSIONED}					Fedeltà: rassegnazione
{TMT_LOYALTY_TOOLTIP_CONTENT}					Fedeltà: soddisfazione
{TMT_LOYALTY_TOOLTIP_HAPPY}					Fedeltà: felicità
{TMT_GROWTH_TOOLTIP_GROWTH}					Popolazione: in crescita
{TMT_GROWTH_TOOLTIP_STATIC}					Popolazione: crescita zero
{TMT_GROWTH_TOOLTIP_DECLINING}					Popolazione: in calo
{TMT_SETTLEMENT_STATUS_TRAINING}					Addestramento unità in corso
{TMT_SETTLEMENT_STATUS_BUILDING}					Costruzione strutture in corso
{TMT_LCLICK_FOR_BUILD_OPTIONS}					Clicca col sinistro per le opzioni di evoluzione della struttura
{TMT_CONSTRUCTION_HELP}					Clicca col sinistro per accodare, col destro per avere informazioni
{TMT_CONSTRUCTION_REMOVE_HELP}					Clicca col sinistro per togliere dalla coda
{TMT_COST_OF_CONSTRUCTION}					Costo di costruzione della struttura
{TMT_TIME_TO_CONSTRUCT}					Turni necessari alla costruzione della struttura
{TMT_COST_OF_RECRUITMENT_UNIT}					Costo di reclutamento dell'unità
{TMT_TIME_TO_RECRUIT}					Turni necessari all'addestramento
{TMT_SEASON_SUMMER}					Estate
{TMT_SEASON_WINTER}					Inverno
{TMT_REMAINING_ACTION_POINTS}					Punti movimento\nLa barra blu rappresenta i punti rimasti\nLa sezione azzurra rappresenta l'effetto\nsui punti movimento al termine\ndell'azione corrente
{TMT_ACCEPT_FIELD_CONSTRUCTION}					Costruisci l'elemento selezionato
{TMT_CANCEL_FIELD_CONSTRUCTION}					Non comprare nulla
{TMT_BUILD_FORT_OR_WATCHTOWER}					Erigi un forte o una torre di guardia
{TMT_CANNOT_BUILD_FORT_OR_WATCHTOWER}					Impossibile erigere un forte o una torre di guardia qui
{TMT_CANNOT_ATTACK_FROM_SIEGED_SETTLEMENT}			Solo la guarnigione assediata può attaccare le armate assedianti
{TMT_SHOW_GENERAL_UNIT_DETAILS}					Mostra i dettagli dell'unità a protezione di questo personaggio
{TMT_LCLICK_SELECT}					Clicca col sinistro per selezionare
{TMT_RCLICK_INFO}					Clicca col destro per avere altre informazioni
{TMT_LDBL_CLICK_INFO}					Clicca due volte per avere altre informazioni
{TMT_CURSOR_ATTACK}					Clicca col destro per attaccare
{TMT_CURSOR_MOVE}					Clicca col destro per raggiungere la posizione
{TMT_CURSOR_SELECT}					Clicca col destro per selezionare
{TMT_CURSOR_MOVE_MAP}					Scorri mappa
{TMT_CURSOR_MOUSE_LOOK}					Sguardo mouse
{TMT_CURSOR_CLICK_DOWN}					Clicca
{TMT_CURSOR_EXCHANGE}					Clicca col destro per scambiare unità e personaggi 
{TMT_CURSOR_DEFAULT_ACTION}					Clicca col destro per compiere la missione
{TMT_CURSOR_NO_ACTION}					Nessuna azione possibile su questo obiettivo
{TMT_CURSOR_ENTER_SETTLEMENT}				Clicca col destro per entrare nell'insediamento
{TMT_CURSOR_DISEMBARK}					Clicca col destro per effettuare lo sbarco
{TMT_CURSOR_SET_RALLY_POINT}					Clicca col destro per fissare i punti di raduno degli insediamenti
{TMT_CURSOR_AUTO_MERGE}					Clicca col destro per unire automaticamente le unità 
{TMT_NO_MULTITURN_MISSIONS}					Non si può attaccare o compiere missioni su più turni
{TMT_NO_MULTITURN_EXCHANGES}					Non si può unire o scambiare unità su più turni
{TMT_SIEGE_EQUIPMENT_NOT_REQUIRED}					La costruzione di questo strumento d'assedio non è necessaria
{TMT_NO_DIPLOMACY_WITH_REBELS}					Non è possibile avere negoziati con i ribelli
{TMT_SILVER_TOOLTIP}					Nel vicino insediamento si può costruire una miniera d'argento
{TMT_GOLD_TOOLTIP}					Nel vicino insediamento si può costruire una miniera d'oro
{TMT_IRON_TOOLTIP}					Ferro - una preziosa risorsa commerciale
{TMT_GRAIN_TOOLTIP}					Grano - una preziosa risorsa\nAumenta la popolazione nel luogo d'esportazione
{TMT_OLIVE_OIL_TOOLTIP}					Olio - una preziosa risorsa commerciale
{TMT_WINE_TOOLTIP}					Vino - una preziosa risorsa commerciale
{TMT_SLAVES_TOOLTIP}					Schiavi - una preziosa risorsa\nAumenta la popolazione nel luogo d'esportazione
{TMT_GLASS_TOOLTIP}					Vetro - una preziosa risorsa commerciale
{TMT_POTTERY_TOOLTIP}					Vasellame - una preziosa risorsa commerciale
{TMT_TIMBER_TOOLTIP}					Legna - una preziosa risorsa commerciale
{TMT_MARBLE_TOOLTIP}					Marmo - una preziosa risorsa commerciale
{TMT_TEXTILES_TOOLTIP}					Stoffe - una preziosa risorsa commerciale
{TMT_PURPLE_DYE_TOOLTIP}				Porpora - una preziosa risorsa commerciale
{TMT_INCENSE_TOOLTIP}					Incenso - una preziosa risorsa commerciale
{TMT_SILK_TOOLTIP}					Seta - una preziosa risorsa commerciale
{TMT_WILD_ANIMALS_TOOLTIP}				Fiere - una preziosa risorsa commerciale
