¬ Strings that only appear in battle
{BMT_TURTLE}										Особая способность: Строй 'Черепаха'
{BMT_PHALANX}										Особая способность: Строй 'Фаланга'
{BMT_TOGGLE_SKIRMISH_ON}								Включить режим перестрелки
{BMT_TOGGLE_FIRE_ON}									Включить режим стрельбы по готовности
{BMT_TOGGLE_SKIRMISH_OFF}								Отключить режим перестрелки
{BMT_TOGGLE_FIRE_OFF}									Отключить режим стрельбы по готовности
{BMT_TOGGLE_DEFEND_ON}								Включить режим обороны 
{BMT_TOGGLE_DEFEND_OFF}								Отключить режим обороны 
{BMT_TOGGLE_FORMATION_TIGHT}							Установить строй отряда сомкнутый
{BMT_TOGGLE_FORMATION_LOOSE}							Установить строй отряда врассыпную
{BMT_TOGGLE_SPECIAL_FORMATION_ON}						Установить особый строй отрядов (черепаха/фаланга и т.д.)
{BMT_TOGGLE_SPECIAL_FORMATION_OFF}					Установить строй отряда на обычный
{BMT_RADAR_ZOOM_IN}									Приблизить текущий участок
{BMT_RADAR_ZOOM_OUT}									Отдалить текущий участок
{BMT_SHOW_GROUP_FORMATIONS}							Показать кнопки строя группы
{BMT_HIDE_GROUP_FORMATIONS}							Скрыть кнопки строя группы
{BMT_HALT}											Остановить выполнение текущих приказов
{BMT_WALK}											Идти
{BMT_RUN}												Бежать
{BMT_WITHDRAW}										Отступить
{BMT_PAUSE}											Пауза в игре
{BMT_NEW_PLAY}										Снять игру с паузы и установить на реальное время
{BMT_DOUBLE}											Двойная скорость игры
{BMT_TRIPLE}											Тройная скорость игры
{BMT_RADAR}											Радар
{BMT_GROUP}											Объединить выбранные отряды
{BMT_UNGROUP}											Разъединить выбранные отряды
{BMT_FAT_FRESH}										Свежие
{BMT_FAT_WARMED_UP}									Разогретые
{BMT_FAT_WINDED}										Отдохнувшие
{BMT_FAT_TIRED}										Усталые
{BMT_FAT_MOST_TIRED}									Обессилевшие
{BMT_FAT_EXHAUSTED}									Изнуренные
{BMT_MOR_BESERK}										Берсерк
{BMT_MOR_IMPETUOUS}									Пылкие
{BMT_MOR_HIGH}										Рьяные
{BMT_MOR_FIRM}										Стойкие
{BMT_MOR_SHAKEN}										Пошатнувшиеся
{BMT_MOR_WAVERING}									Колеблющиеся
{BMT_MOR_ROUTING}										Сломленные
{BMT_END_DEPLOYMENT}									НАЧАТЬ БИТВУ
{BMT_WAIT}											ЖДАТЬ
{BMT_START_DEPLOYMENT}									НАЧАТЬ РАЗМЕЩЕНИЕ ВОЙСК
{BMT_CHAT_SUPPORT}									Поддерживать
{BMT_CHAT_RETREAT}									Отступать
{BMT_CHAT_ADVANCE}									Наступать
{BMT_CHAT_ATTACK}										Атаковать
{BMT_CHAT_HELP}										Предложить помощь
{BMT_CHAT_SUPPORT_FLANK}								Поддержите мой фланг
{BMT_CHAT_SUPPORT_ATTACK}								Поддержите мою следующую атаку
{BMT_CHAT_SUPPORT_ADVANCE}								Поддержите мое наступление
{BMT_CHAT_RETREAT_FLANK}								Подтянитесь, чтобы прикрыть мой фланг
{BMT_CHAT_RETREAT_GENERAL}								Убирайтесь к черту отсюда
{BMT_CHAT_ADVANCE_LINE}									Наступайте по линии фронта
{BMT_CHAT_ADVANCE_KEEP_UP}								Держитесь рядом с моими войсками
{BMT_CHAT_ATTACK_ALL}									Атакуйте всех
{BMT_CHAT_RETREAT_TO_POS}								Отступайте на указанную позицию
{BMT_CHAT_ADVANCE_TO_POS}								Наступайте на указанную позицию
{BMT_CHAT_ATTACK_POS}									Атакуйте отряды на указанной позиции
{BMT_CHAT_USER}										По выбору
{BMT_CHAT_CANCEL}										Отмена
{BMT_CHAT_HELP_BODY}									Я здесь, чтобы помочь.  Скажите мне, что делать.
{BMT_SPECIFY_POSITION}									Укажите область на карте и определите позицию с помощью мышиной клавиши 'приказа'
{BMT_SIEGE_EQUIPMENT}									Осадное оборудование
{BMT_DEPLOY_SIEGE}									Перетяните иконку оборудования на изображение отряда, чтобы разместить его
{BMT_ACT_IDLE}										Без дела
{BMT_ACT_HIDING}										Прячутся
{BMT_ACT_READY}										Готовы
{BMT_ACT_REFORMING}									Перестраиваются
{BMT_ACT_MOVING}										На марше
{BMT_ACT_FIRING}										Стреляют
{BMT_ACT_RELOADING}									Перезаряжаются
{BMT_ACT_CHARGING}									Атакуют
{BMT_ACT_FIGHTING}									Сражаются
{BMT_ACT_RUNNING_AMOK}								В боевом безумии
{BMT_ACT_ROUTING}										Убегают
{BMT_ACT_FIGHTING_BACKS_TO_THE_WALLS}					Стоят насмерть
{BMT_ACT_PURSUING}									Преследуют
{BMT_ACT_DEAD}										Все погибли
{BMT_ACT_LEFT}										Покинули бой
{BMT_ACT_ENTERING_BATTLE}								Ждут вступления в битву
{BMT_ACT_TAUNTING}									Дразнят врага
{BMT_COM_WIN_BIG}										Легко побеждают
{BMT_COM_WIN}											Побеждают
{BMT_COM_WIN_SLIGHT}									Побеждают с небольшим перевесом
{BMT_COM_EVEN}										Бьются с равным противником
{BMT_COM_LOSE_SLIGHT}									Проигрывают с небольшим перевесом
{BMT_COM_LOSE}										Проигрывают
{BMT_COM_LOSE_BIG}									Серьезно проигрывают
{BMT_DAMAGE}											Урон:
{BMT_HOLD_FOR_X_MINUTES}								Участок должен быть удержан в течение %f минут.
{BMT_CAPTURE_LOCATION}									Захватить участок
{BMT_CAPTURE_SETTLEMENT}								Захватить поселение
{BMT_CAPTURE_CAMP}									Захватить обоз
{BMT_DESTROY_CHARACTER}									Убить персонажа
{BMT_DESTROY_ENEMY}									Уничтожить или обратить в бегство противника
{BMT_BALANCE_OF_STRENGTH}								Баланс сил (в процентах)
{BMT_DESTROY_ENEMY_STRENGTH}								Ослабить противника
{BMT_SUCCEEDED}										Успех
{BMT_FAILED}											Провал
{BMT_IMPOSSIBLE}										Невозможно
{BMT_CONDITIONS}										Цели битвы
{BMT_CONDITIONS_ALL}									Цели битвы (выполнить все)
{BMT_CONDITIONS_ANY}									Цели битвы (выполнить одну или более)
{BMT_STATE_RUNNING}									Бегут
{BMT_STATE_WALKING}									Идут
{BMT_STATE_UNDER_MISSILE_ATTACK}						Под обстрелом
{BMT_STATE_PANIC}										В панике
{BMT_STATE_HIDING}									Прячутся
{BMT_STATE_ATTACKING}									Атакуют
{BMT_STATE_ATTACK_MISSILE}							Атакуют метательным оружием
{BMT_STATE_LADDERS}									Несут лестницы
{BMT_STATE_RAMS}										Несут таран
{BMT_STATE_SAPPERS}									Саперы
{BMT_STATE_TOWERS}									Закреплены за осадной башней
{BMT_ENCOURAGED_ARMY_SUPPORTED}						Воодушевлены близостью других войск в кампании
{BMT_ENCOURAGED_ARMY_NO_RETREAT}						Полны мрачной решимости из-за невозможности отступления в кампании
{BMT_ENCOURAGED_GENERAL_PRESENT}						Радуются присутствию военачальника в отряде
{BMT_ENCOURAGED_GENERAL_NEARBY}						Напутствие военачальника подняло боевой дух
{BMT_ENCOURAGED_COMMAND_UNIT_NEARBY}					Счастливы, что командирский отряд поблизости
{BMT_ENCOURAGED_FLANKS_SECURE}						Чувствуют себя в безопасности, зная о прикрытых флангах
{BMT_ENCOURAGED_FORTIFICATION}						Довольны, будучи рядом с дружественным укреплением
{BMT_ENCOURAGED_ON_THE_HILL}							Чувствуют себя в безопасности на холме
{BMT_ENCOURAGED_ENEMY_ROUTING}						Радуются, видя бегство неприятеля
{BMT_ENCOURAGED_TRYING_TO_RALLY}						Пытаются подтянуться к месту сбора
{BMT_ENCOURAGED_HIDING}								Рады, что сидят в укрытии
{BMT_ENCOURAGED_BLOODLUST}							Поглощены жаждой крови и забыли обо всем
{BMT_ENCOURAGED_BERSERK}								Впали в состояние берсерков и забыли обо всем
