¬ Text file converted with loc_parser
{BET_CREATE_NEW_ARMY}					Редактировать армию
{BET_SELECT_FACTION}					Выбрать фракцию
{BET_IS_ATTACKER}						Атакует?
{BET_IS_REINFORCEMENT}					В резерве?
{BET_TIME_TO_REINFORCE}					Часов до присоединения - %d
{BET_ONE_HOUR_TO_REINFORCE}				Присоединится через 1 час
{BET_CREATE_NEW_UNIT}					Редактировать отряд
{BET_UNIT_SIZE}							Размер отряда
{BET_EXPERIENCE}						Опыт
{BET_PRI_WPN_LVL}						Усовершенствования оружия
{BET_ARMOUR_LVL}						Усовершенствования брони
{BET_CAN_WITHDRAW}						Может отступать
{BET_SUPPORTING_ARMIES}					Число армий поддержки
{BET_GENERAL}							Военачальник
{BET_NAME}								Имя
{BET_AGE}								Возраст
{BET_CREATE_DEPLOYMENT}					Создать участки размещения\nчтобы создать участки размещения, нужно выбрать армию\nукажите как минимум три точки на каждый участок\nметку можно передвинуть, когда курсор подсвечен\nзажмите shift и передвиньте подсвеченную метку, чтобы переместить весь участок
{BET_EDIT_HEIGHTS}						Редактировать рельеф ландшафта
{BET_EDIT_TEXTURES}						Редактировать текстуры ландшафта
{BET_UPDATE_TREES}						Обновить лесной массив\nдобавляйте и убирайте деревья с помощью редактора текстур ландшафта\nзатем нажмите сюда, чтобы обновить 
{BET_EDIT_SETTLEMENT}					Добавить план поселения и здания\nна каждой карте может быть только одно крупное поселение\nвы можете перемещать поселения в режиме деталей
{BET_PLACE_LANDSCAPE_FEATURES}			Размещение и передвижение моделей\nразместить модель можно там, где ее контур зеленый\nзажмите обе кнопки мыши, чтобы вращать модель\nудалить модель можно правой кнопкой мыши\nразмещенные модели можно перемещать, выбирая их и перетягивая на новую позицию
{BET_EDIT_ARMIES}						Создать армию
{BET_EDIT_UNITS}						Создать/редактировать отряды\nчтобы добавить отряды, нужно выбрать армию или отряд\nдобавить отряды на участок размещения\nзажмите левую или правую клавишу и передвигайте мышь, чтобы изменить направление отряда и ширину строя
{BET_START_TIME}						Время начала
{BET_EDIT_UNIT_SCRIPT}					Редактировать скрипт ИИ отряда
{BET_DELETE_FACTION_CONFIRMATION}		Удаление фракции повлечет за собой потерю всех ее армий, персонажей, участков размещения и боевых единиц. Вы уверены, что хотите совершить эту операцию?
{BET_DELETE_ARMY_CONFIRMATION}			Удаление армии повлечет за собой потерю всех связанных с ней персонажей, боевых единиц и участков размещения. Вы уверены, что хотите совершить эту операцию?
{BET_DELETE_UNIT_CONFIRMATION}			Удаление боевой единицы повлечет за собой потерю всех связанных с ней данных. Вы уверены, что хотите совершить эту операцию?
{BET_DELETE_CHARACTER_CONFIRMATION}		Удаление персонажа повлечет за собой потерю всех связанных с ним данных, касающихся боевых единиц/армий. Вы уверены, что хотите совершить эту операцию?
{BET_DELETE_SETTLEMENT_CONFIRMATION}	Вы уверены, что хотите удалить это поселение?
{BET_CONFIRM_DELETE}					Подтверждение удаления
{BET_SET_VICTORY_CONDITIONS}			Установить условия победы
{BET_CONDITIONS}						Условия
{BET_BATTLE_DURATION}					Установить лимит времени (в часах):
{BET_ADD_CONDITION}						Добавить новое условие
{BET_DELETE_CONDITION}				Удалить условие
{BET_ILLEGAL_DEPLOYMENT_AREA}			Участок размещения, созданный с использованием этих точек, не может существовать.  выберите отмену, чтобы редактировать точки, или подтверждение, чтобы очистить весь участок.
{BET_ERROR}								Ошибка
{BET_MODEL_TYPE_GENERAL}				Общие детали ландшафта
{BET_MODEL_TYPE_RIVERS}					Речные детали
{BET_MODEL_TYPE_AMBIENT_SETTLEMENT}		Детали поселений
{BET_MODEL_TYPE_SPECIAL}				Особые детали
{BET_EDIT_BATTLE_DETAILS}				Редактировать детали битвы
{BET_IS_NIGHT_BATTLE}					Ночная битва?
{BET_IS_AMBUSH}							Засада?
{BET_ENTER_DESCRIPTION}					Введите описание битвы
{BET_EDIT_CHARACTER}					Редактировать персонажа
{BET_SELECT_CHARACTER_TYPE}				Тип персонажа
{BET_EDIT_CHARACTER_RECORD}				Редактировать личное дело персонажа
{BET_IS_MALE}							Мужчина?
{BET_CREATE_CHARACTER}					Создать новый персонаж
{BET_CREATE_SETTLEMENT}					Создать новое поселение
{BET_MOVE_ITEM}							Переместить объект
{BET_EDIT_FAMILY}						Редактировать родословную\nчтобы редактировать родословную, нужно выбрать фракцию
{BET_EDIT_CLIMATES}						Редактировать климатическую карту
{BET_EDIT_GROUND_TYPES}					Редактировать тип почвы
{BET_CREATE_CHARACTER_RECORD}			Добавить запись о жене или ребенке
{BET_ADD_CHILD}							Добавить как ребенка
{BET_ADD_SPOUSE}						Добавить как супруга
{BET_REMOVE_RELATIVE}					Разорвать связь
{BET_EDIT_RESOURCE}						Редактировать ресурсы, форты и сторожевые башни
{BET_EDIT_RIVERS}						Редактировать детали ландшафта
{BET_EDIT_TRADE_ROUTES}					Редактировать торговые маршруты
{BET_SELECT_RESOURCE}					Выбрать ресурс и уровень
{BET_ADD_UNITS}							Добавить боевые единицы в армию
{BET_REMOVE_UNITS}						Удалить выбранную боевую единицу
{BET_GARRISONED}						В гарнизоне
{BET_CREATE_ALLIANCES}					Создать союзы
{BET_SELECT_ALLIANCE}					Выбрать союз
{BET_DELETE_ALLIANCE}					Удалить союз
{BET_CAN_WAIT}							Возможно ожидание\nармии из этого союза могут отложить битву вначале
{BET_CAN_DEPLOY}						Возможно размещение\nармии из этого союза могут размещать отряды во время фазы размещения
{BET_CAN_VIEW}							Возможен просмотр\nармии из этого союза могут просматривать поле боя во время фазы размещения
{BET_SELECT_HOME_FACTION}				Выбрать родную фракцию
{BET_WEATHER_SEED}						Типы погоды
{BET_GENERATE_RANDOM_SEED}				Создать новый тип
{BET_WALL_SIZE_NORMAL}					Обычная
{BET_WALL_SIZE_LARGE}					Большая
{BET_WALL_SIZE_HUGE}					Огромная
{BET_WALL_LEVEL}						Высота стены
{BET_TOWERS_NORMAL}						Сторожевые башни
{BET_TOWERS_ARROW}						Стрелковые башни
{BET_TOWERS_BALLISTA}					Орудийные башни
{BET_TOWER_LEVEL}						Высота башни
{BET_GATES_0}							Деревянная
{BET_GATES_1}							Крепкая древесина
{BET_GATES_2}							Окованная железом
{BET_GATE_LEVEL}						Высота ворот
{BET_GATE_DEFENCES_NONE}				Нет
{BET_GATE_DEFENCES_SAND}				Каленый песок
{BET_GATE_DEFENCES_OIL}					Кипящее масло
{BET_GATE_DEFENCES_LEVEL}				Защита ворот
{BET_NOT_ENOUGH_FACTIONS}				В битве должно участвовать как минимум две фракции
{BET_FACTION_MUST_HAVE_1_ARMY}			У фракции должна быть как минимум одна армия
{BET_ARMY_HAS_NO_UNITS}					В этой армии нет ни одного отряда
{BET_ARMY_HAS_NO_GENERALS_UNIT}			В этой армии должен быть отряд, способный поддержать военачальника (ищите в списке боевых единиц отряды с пометкой 'командирский отряд' в описании)
{BET_FACTION_NOT_IN_ALLIANCE}			Эта фракция должна быть союзной с кем-либо, но таковой не является. Все скрипты отрядов будут потеряны
{BET_UNIT_OUTSIDE_DEPLOYMENT_AREA}		Этот отряд находится вне участка размещения
{BET_NO_HOME_FACTION_SET}				Следует установить родную фракцию (установите родную фракцию в меню условий победы)
{BET_NEED_TWO_ALLIANCES}				В каждой битве должно быть как минимум два союза. Установите их в меню условий победы
{BET_ALLIANCE_WITH_NO_CONDITIONS}		Для каждого из союзов должно быть как минимум одно условие победы.
{BET_DURATION_SET_TO_ZERO}				Продолжительность битвы сейчас установлена на 0 часов
{BET_ERROR_REPORT_END}					Тем не менее, сценарий битвы может быть создан, но возможно, что битва загрузится неверно или возникнут непредвиденные побочные эффекты.\nЛучше устранить все ошибки
{BET_SANITY_REPORT}						Разумное предостережение
