¬ Text file converted with loc_parser
{baggage_train}				Обозная телега
{cavalry_barracks}			Военные конюшни
{eastern_cavalry_barracks}			Военные конюшни
{eastern_hippodrome}			Элитные военные конюшни
{egyptian_cavalry_barracks}		Военные конюшни
{egyptian_governors_palace}		Дворец наместника
{egyptian_hippodrome}			Элитные военные конюшни
{egyptian_shrine}				Святилище
{egyptian_temple}				Храм
{forum}					Форум
{great_forum}				Великий Форум
{greek_governors_palace}			Дворец наместника
{greek_large_marketplace}			Агора
{greek_marketplace}			Рынок
{greek_merchants_quarter}			Квартал купцов
{greek_pro-consuls_palace}			Палаты Cоветника
{pantheon}				Пантеон
{plaza}					Площадь
{ambient}				Здание
{roman_blacksmith}			Кузница
{roman_governors_palace}			Дворец наместника
{roman_marketplace}			Рынок
{roman_pro-consuls_palace}		Дворец проконсула
{roman_trader}				Торговец
{shrine}					Святилище
{stables}					Конюшни
{trader}					Торговец
{hall_large}				Большой чертог
{lith}					Лит
{long_house}				Дом собраний
{park_building}				Уборная
{hut}					Хижина
{watchtower}				Сторожевая башня
{tent}					Палатка
{henge}					Изгородь
{paddock}				Загон
{standing_stones}				Стоячие камни
{marketplace}				Рынок
{smiths_workshop}			Мастерская кузнеца
{warlords_hold}				Оплот воеводы
{sacred_grove}				Священная роща
{sacred_circle}				Священный круг
{warriors_hold}				Оплот воина
{high_kings_hall}				Чертоги великого князя
{drinking_hall}				Питейный чертог
{mead_hall}				Бражная
{hall_of_heroes}				Чертоги славы
{warlords_stable}				Конюшни воеводы
{great_market}				Большой рынок
{sacred_archway}				Священная арка
{eastern_blacksmith}			Кузница
{eastern_governors_palace}			Дворец наместника
{eastern_governors_villa}			Вилла наместника
{eastern_imperial_palace}			Царский дворец
{eastern_pro-consuls_palace}		Палаты Cоветника
{eastern_shrine}				Святилище
{eastern_temple}				Храм
{eastern_workshop}			Мастерская
{egyptian_eastern_merchants_quarter}	Квартал купцов
{egyptian_shrine}				Святилище
{large_temple}				Большой храм
{councillor's_chambers}			Палаты Cоветника
{awesome_temple}			Величественный храм
{governor's_house}			Дом наместника
{tree}					Дерево
{vegetation}				Растительность
{theatre}				Театр
{temple}					Храм
{royal_palace}				Царский дворец
{dockyard}				Верфь
{ancient_obelisk}				Обелиск
{practice_range}				Площадка для обучения
{archery_range}				Стрельбище
{catapult_range}				Площадка для катапульт
{siege_engineer}				Осадный инженер
{academy}				Академия
{city_barracks}				Городские казармы
{ludus_magna}				Ludus Magna
{militia_barracks}				Казармы ополчения
{scriptorium}				Переписчик
{camel_stables}				Стойла верблюдов
{governor's_villa}				Вилла наместника
{pharoah's_palace}			Дворец фараона
{bazaar}					Базар
{tomb}					Гробница
{huge_city}				Великий город
{pyramid}				Пирамида
{governor's_house}			Дом наместника
{elite_cavalry_stables}			Элитные военные конюшни
{ruined_temple}				Разрушенный храм
{bath_house}				Публичные бани
{circus_maximus}				Великий цирк
{colosseum}				Колизей
{large_city}				Огромный город
{hippodrome}				Ипподром
{barracks}				Казармы
{country_villa}				Сельская вилла
{farm}					Ферма
{governor's_house}			Дом наместника
{imperial_palace}				Императорский дворец
{sarcophagus}				Саркофаг
{arena}					Арена
{amphitheatre}				Амфитеатр
{onager}					Онагр
{siege_tower}				Осадная башня
{ballista}					Баллиста
{sphinx}					Сфинкс
{great_sphinx}				Великий Сфинкс
{temple_of_zeus}				Храм Зевса в Олимпии
{temple_to_artemis}			Храм Артемиды в Эфесе
{mausoleum}				Мавзолей в Геликарнассе
{pharos}					Фарос Александрийский
{colossus}				Колосс Родосский
{hanging_gardens}				Висячие Сады Вавилона
{construction_site}			Место постройки
{wall}					Стена
{road}					Дорога


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 30/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{none}					нет
{wagon}					Повозка
{statue}					Статуя	
{triumphal_column}			Триумфальная колонна
{triumphal_arch}				Триумфальная арка



¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{sewers}				Канализация
{baths}					Бани
{execution_square}			Лобное место
{secret_police_hq}			Штаб тайной полиции
{secret_police_network}			Агентство тайной полиции
{odeon}					Одеон
{lyceum}				Лицей
{tavern}				Таверна
{bardic_circle}				Круг бардов
{aqueduct}				Акведук
{city_plumbing}				Городской водопровод
{grand_bazaar}				Великий базар
{roman_armourer}			Бронник
{roman_foundry}				Литейная
{eastern_armourer}			Бронник
{eastern_foundry}			Литейная
{barbarian_blacksmith}			Кузница
{barbarian_armourer}			Бронник
{eastern_trader}			Торговец
{urban_barracks_roman}			Городские казармы
{urban_barracks_egyptian}		Городские казармы
{urban_barracks_eastern}		Городские казармы
{royal_cavalry_stables}			Царские военные конюшни
{temple_city}				Храмовый город
{temple_complex}			Храмовый комплекс

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{greek_pantheion}			Пантеон

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{greek_great_agora}			Великая агора


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************
{gateway}	Ворота
{tower}	Башня

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 05/08/2004 12:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 12/08/2004 09:53:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
