¬ Text file converted with loc_parser
{Otadinoi}					Восставшие отадины 
{Saxones}					Восставшие саксы
{Goths}					Восставшие готы
{Caucasians}					Восставшие кавказцы
{Scythians}					Восставшие скифы
{Hibernians}					Восставшие гиберны
{Sarmatians}					Восставшие сарматы
{Brigantes}					Восставшие бриганты
{Rugii}					Восставшие ругии
{Roxolani}					Восставшие роксоланы
{Iceni}					Восставшие ицены
{Ubii}					Восставшие убии
{Chatti}					Восставшие хатты
{Marcomanni}					Восставшие маркоманны
{Nervii}					Восставшие нервии
{Nemetes}					Восставшие неметы
{Curiosolites}					Восставшие кориозолиты
{Sequani}					Восставшие секваны
{Boii}					Восставшие бойи
{Thracians}					Восставшие фракийцы
{Scordisci}					Восставшие скордиски
{Carnutes}					Восставшие карнуты
{Vandals}					Восставшие вандалы
{Alaunoii}					Восставшие алауны
{Greeks}					Восставшие греки
{Troglodytae}					Восставшие троглодиты
{Arabiates}					Восставшие аравийцы
{Petrocori}					Восставшие петрокории
{Vellavi}					Восставшие веллавы
{Brouchoi}					Восставшие брухи
{Parthians}					Восставшие парфяне
{Helvetii}					Восставшие гельветы
{Dripsinates}					Восставшие дрипсинаты
{Volcae_Arecomici}					Восставшие вольки арекомики
{Breuci}					Восставшие бревки
{Korraloi}					Восставшие кораллы
{Cantabri}					Восставшие кантабры
{Delmatae}					Восставшие далматы
{Armenians}					Восставшие армяне
{Volcanaens}					Восставшие вольканцы
{Viturii}					Восставшие витуры
{Paphlagonians}					Восставшие пафлагонцы
{Carpetani}					Восставшие карпетаны
{Etruscans}					Восставшие этруски
{Edetani}					Восставшие эдетаны
{Umbrians}					Восставшие умбрии
{Kadousoi}					Восставшие кадусии
{Celtici}					Восставшие кельты
{Latins}					Восставшие латины
{Beronicensis}					Восставшие бероны 
{Macedonians}					Восставшие македоняне
{Getae}					Восставшие геты
{Phrygians}					Восставшие фригийцы
{Cappadocians}					Восставшие каппадокийцы
{Iberians}					Восставшие иберийцы
{Calabrians}					Восставшие калабры
{Campanians}					Восставшие кампанцы
{Bythemanoi}					Восставшие вифинийцы
{Lesbians}					Восставшие лесбийцы
{Cilicians}					Восставшие киликийцы
{Heruli}					Восставшие герулы
{Brutii}					Восставшие бруты
{Ionians}					Восставшие ионийцы
{Seleucids}					Восставшие селевкиды
{Syrians}					Восставшие сирийцы
{Attic}					Восставшие аттики
{Lugii}					Восставшие лугии
