¬ Comments are marked with whatever character this is at the start
¬ There must be a comment on the first line if tag delimeters and comments are included in the rest of the file
{strat}					Меню стратегии		¬ Mid line comment, just to test
{strat_ed}					Меню редактора стратегии
{battle}					Меню сражения
{battle_view}					Вид сражения
{battle_ed}					Меню редактора сражений
{overview}					Обзорное меню
{all}						Все меню
{order_halt}				Перемещение: стоп
{unit_zoom}					Масштаб: соединение
{orders_group}				Объединить выбранные отряды
{orders_ungroup}				Разъединить выбранные отряды
{general_zoom}				Масштаб: полководец
{unit_track}				Маршрут: соединение
{end_battle}				Выйти из сражения
{show_help}					Показать окно помощи
{general_chat}				Послать сообщение
{inc_scale}					Радар: увеличить масштаб
{dec_scale}					Радар: уменьшить масштаб
{faction_highlight}			Подсветка регионов фракций
{save_stratmap}				Быстрое сохранение игры
{load_stratmap}				Быстрая загрузка игры
{speedup_ai}				Ускорение ИИ
{stop_character}				Остановить персонажа
{quit}						Выйти из игры
{capital_zoom}				Перейти к столице
{undo}						Отменить последнее действие
{redo}						Повторить предыдущую отмену
{delete_selected}			Стереть выделенный объект
{step_fwd}					Камера: двигаться вперед
{step_fwd_fast}				Камера: быстро двигаться вперед
{step_bck}					Камера: двигаться назад
{cam_up}					Камера: двигаться вверх
{cam_down}					Камера: двигаться вниз
{rot_l}						Камера: повернуть налево
{rot_r}						Камера: повернуть направо
{fov_dec}					Камера: уменьшить поле обзора
{fov_inc}					Камера: увеличить поле обзора
{rot_u}						Камера: повернуть вверх
{rot_d}						Камера: повернуть вниз
{step_l}					Камера: стрейф влево
{step_r}					Камера: стрейф вправо
{speed_inc}					Камера: увеличить скорость
{speed_dec}					Камера: уменьшить скорость
{select_all}				Карточки: выделить все
{select_prev}				Карточки: выделить предыдущую
{deselect_all}				Карточки: снять выделение
{select_next}				Карточки: выделить следующую
{select_next_grp}			Карточки: выделить следующую группу
{select_prev_grp}			Карточки: выделить предыдущую группу
{select_siege}				Выделить всю артиллерию
{select_infantry}			Выделить всю пехоту
{select_cavalry}			Выделить всю кавалерию
{select_melee}				Выделить все отряды ближнего боя
{select_missile}			Выделить всех застрельщиков
{save}						Сохранить
{load}						Загрузить
{zoom_in}					Крупный план карты
