¬ Text file converted with loc_parser
{BET_CREATE_NEW_ARMY}					Editar detalles del ejército
{BET_SELECT_FACTION}					Seleccionar facción
{BET_IS_ATTACKER}						¿Ataca?
{BET_IS_REINFORCEMENT}					¿Es un refuerzo?
{BET_TIME_TO_REINFORCE}					Se une en %d horas
{BET_ONE_HOUR_TO_REINFORCE}				Se une en 1 hora
{BET_CREATE_NEW_UNIT}					Editar detalles de la unidad
{BET_UNIT_SIZE}							Tamaño de la unidad
{BET_EXPERIENCE}						Experiencia
{BET_PRI_WPN_LVL}						Mejoras de armas
{BET_ARMOUR_LVL}						Mejoras de armadura
{BET_CAN_WITHDRAW}						Puede retirarse
{BET_SUPPORTING_ARMIES}					N.º de ejércitos de apoyo
{BET_GENERAL}							General
{BET_NAME}								Nombre
{BET_AGE}								Edad
{BET_CREATE_DEPLOYMENT}					Crear áreas de despliegue\nHay que seleccionar un ejército para crear áreas de despliegue\nSelecciona un mínimo de tres puntos para un área\nLos indicadores pueden moverse cuando el cursor esté resaltado\nMantén pulsado Mayús y mueve un indicador resaltado para desplazar toda un área
{BET_EDIT_HEIGHTS}						Editar elevaciones del paisaje
{BET_EDIT_TEXTURES}						Editar texturas del paisaje
{BET_UPDATE_TREES}						Actualizar contornos arbóreos\nAñade y quita árboles con la herramienta de texturas del paisaje\nLuego haz clic aquí para actualizarlo
{BET_EDIT_SETTLEMENT}					Añadir plano y edificios de enclave\nSolo se puede poner un enclave grande por mapa\nMueve los enclaves colocados en el modo de "característicos"
{BET_PLACE_LANDSCAPE_FEATURES}			Colocar y mover modelos característicos\nColoca el modelo cuando la plantilla esté en verde\nMantén pulsados ambos botones para rotar la colocación\nBorra los modelos con el botón derecho\nLos modelos colocados se pueden mover si los seleccionas y arrastras a la nueva posición
{BET_EDIT_ARMIES}						Crear ejército
{BET_EDIT_UNITS}						Crear/editar unidades\nHay que seleccionar un ejército o unidad para poder añadirle unidades\nAñade las unidades en un área de despliegue\nMantén pulsado y mueve el ratón a izquierda o derecha para cambiar el encaramiento y la anchura de la formación
{BET_START_TIME}						Hora de inicio
{BET_EDIT_UNIT_SCRIPT}					Editar script de IA de la unidad
{BET_DELETE_FACTION_CONFIRMATION}		Borrar una facción comportará la pérdida de todos los ejércitos, personajes, áreas de despliegue y unidades que estén asociados a ella. ¿Seguro que quieres llevar a cabo esta operación?
{BET_DELETE_ARMY_CONFIRMATION}			Borrar un ejército comportará la pérdida de todos los personajes, áreas de despliegue y unidades que estén asociados a él. ¿Seguro que quieres llevar a cabo esta operación?
{BET_DELETE_UNIT_CONFIRMATION}			Borrar un ejército comportará la pérdida de todos los datos asociados. ¿Seguro que quieres llevar a cabo esta operación?
{BET_DELETE_CHARACTER_CONFIRMATION}		Borrar un personaje comportará la pérdida de todos los datos de la unidad o el ejército asociado. ¿Seguro que quieres llevar a cabo esta operación?
{BET_DELETE_SETTLEMENT_CONFIRMATION}	¿Seguro que quieres borrar este enclave?
{BET_CONFIRM_DELETE}					Confirmación para borrar
{BET_SET_VICTORY_CONDITIONS}			Fijar condiciones de victoria
{BET_CONDITIONS}						Condiciones
{BET_BATTLE_DURATION}					Fijar límite de tiempo (horas):
{BET_ADD_CONDITION}						Añadir nueva condición
{BET_DELETE_CONDITION}				Borrar condición
{BET_ILLEGAL_DEPLOYMENT_AREA}			El área de despliegue creada con estos puntos no es válida. Selecciona "Cancelar" para volver a editarlos o "Aceptar" para borrar toda el área.
{BET_ERROR}								Error
{BET_MODEL_TYPE_GENERAL}				Componentes generales del paisaje
{BET_MODEL_TYPE_RIVERS}					Componentes del río
{BET_MODEL_TYPE_AMBIENT_SETTLEMENT}		Componentes de ambientación del enclave
{BET_MODEL_TYPE_SPECIAL}				Componentes especiales
{BET_EDIT_BATTLE_DETAILS}				Editar detalles de la batalla
{BET_IS_NIGHT_BATTLE}					¿Batalla nocturna?
{BET_IS_AMBUSH}							¿Emboscada?
{BET_ENTER_DESCRIPTION}					Introducir descripción de la batalla
{BET_EDIT_CHARACTER}					Editar personaje
{BET_SELECT_CHARACTER_TYPE}				Tipo de personaje
{BET_EDIT_CHARACTER_RECORD}				Editar hoja de personaje
{BET_IS_MALE}							¿Es hombre?
{BET_CREATE_CHARACTER}					Crear nuevo personaje
{BET_CREATE_SETTLEMENT}					Crear nuevo enclave
{BET_MOVE_ITEM}							Mover elemento
{BET_EDIT_FAMILY}						Editar árbol genealógico\nHay que seleccionar una facción para editar el árbol genealógico
{BET_EDIT_CLIMATES}						Editar mapa climático
{BET_EDIT_GROUND_TYPES}					Editar tipos de terreno
