¬ Text file converted with loc_parser
{baggage_train}		Carro de abastecimiento
{cavalry_barracks}	Cuartel de caballería
{eastern_cavalry_barracks}	Cuartel de caballería
{eastern_hippodrome}	Cuartel de caballería de élite
{egyptian_cavalry_barracks}	Cuartel de caballería
{egyptian_governors_palace}	Palacio del gobernante
{egyptian_hippodrome}		Cuartel de caballería de élite
{egyptian_shrine}		Altar
{egyptian_temple}		Templo
{forum}				Foro
{great_forum}			Gran foro
{greek_governors_palace}	Palacio del gobernante
{greek_large_marketplace}	Ágora
{greek_marketplace}		Mercado
{greek_merchants_quarter}	Barrio de los mercaderes
{greek_pro-consuls_palace}	Cámara del concejo
{pantheon}			Panteón
{plaza}				Plaza
{ambient}			Edificio
{roman_blacksmith}		Herrero
{roman_governors_palace}	Palacio del gobernante
{roman_marketplace}		Mercado
{roman_pro-consuls_palace}	Palacio del procónsul
{roman_trader}			Comerciante
{shrine}			Altar
{stables}		Cuadras
{trader}		Comerciante
{hall_large}		Gran sala
{lith}			Crónlech
{long_house}		Gran casa
{park_building}		Dependencias
{hut}			Choza
{watchtower}		Atalaya
{tent}			Tienda
{henge}			Círculo
{paddock}		Potrero
{standing_stones}	Hitos
{marketplace}		Mercado
{smiths_workshop}	Artífice de armaduras
{warlords_hold}		Salón del caudillo
{sacred_grove}		Arboleda sagrada
{sacred_circle}		Círculo sagrado
{warriors_hold}		Salón del guerrero
{high_kings_hall}	Salón del gran rey
{drinking_hall}		Salón de festines
{mead_hall}		Salón del aguamiel
{hall_of_heroes}	Sala de los héroes
{warlords_stable}	Cuadras del caudillo
{great_market}		Plaza del mercado
{sacred_archway}	Arcada sagrada
{eastern_blacksmith}	Herrero
{eastern_governors_palace}	Palacio del gobernante
{eastern_governors_villa}	Villa del gobernante
{eastern_imperial_palace}	Palacio real
{eastern_pro-consuls_palace}	Cámara del concejo
{eastern_shrine}		Altar
{eastern_temple}		Templo
{eastern_workshop}		Taller
{egyptian_eastern_merchants_quarter}	Barrio de los mercaderes
{egyptian_shrine}		Altar
{large_temple}			Gran templo
{councillor's_chambers}		Cámara del concejo
{awesome_temple}		Templo imponente
{governor's_house}		Casa del gobernante
{tree}		Árbol
{vegetation}	Vegetación
{theatre}	Teatro
{temple}	Templo
{royal_palace}	Palacio real
{dockyard}	Astilleros
{ancient_obelisk}	Obelisco
{practice_range}	Campo de prácticas
{archery_range}		Campo de tiro con arco
{catapult_range}	Campo de tiro con catapulta
{siege_engineer}	Ingeniero de asedio
{academy}		Academia
{city_barracks}		Cuartel de la ciudad
{ludus_magna}		Ludus Magnus
{militia_barracks}	Cuartel de la milicia
{scriptorium}		Scriptorium
{camel_stables}		Cuadras para camellos
{governor's_villa}	Villa del gobernante
{pharoah's_palace}	Palacio del Faraón
{bazaar}		Bazar
{tomb}			Tumba
{huge_city}		Metrópolis
{pyramid}		Pirámide
{governor's_house}	Casa del gobernante
{elite_cavalry_stables}	Cuartel de caballería de élite
{ruined_temple}		Templo en ruinas
{bath_house}		Baños públicos
{circus_maximus}	Circus Maximus
{colosseum}		Coliseo
{large_city}		Urbe
{hippodrome}		Hipódromo
{barracks}		Cuartel
{country_villa}		Villa de campo
{farm}			Cultivo
{governor's_house}	Casa del gobernante
{imperial_palace}	Palacio imperial
{sarcophagus}		Sarcófago
{arena}			Arena
{amphitheatre}		Anfiteatro
{onager}	Onagro
{siege_tower}	Torre de asedio
