¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Los Julios
{ROMANS_BRUTII}					Los Brutos
{ROMANS_SCIPII}					Los Escipiones
{ROMANS_SENATE}					S.P.Q.R.
{MACEDON}					Macedonia
{EGYPT}					Egipto
{SELEUCID}					El imperio seléucida
{CARTHAGE}					Cartago
{PARTHIA}					Partia
{PONTUS}					Ponto
{GAULS}					La Galia
{GERMANS}					Germania
{BRITONS}					Britania
{ARMENIA}					Armenia
{DACIA}					Dacia
{GREEK_CITIES}					Las polis griegas
{NUMIDIA}					Numidia
{SCYTHIA}					Escitia
{SPAIN}					Hispania
{THRACE}							Tracia
{SLAVE}							Rebeldes
{ALEMANNI}							Alamanes
{EMPIRE_EAST}						Romanos (imperio de oriente)
{EMPIRE_WEST}						Romanos (imperio de occidente)
{EMPIRE_EAST_REBELS}					Romanos (rebeldes del imperio de oriente)
{EMPIRE_WEST_REBELS}					Romanos (rebeldes del imperio de occidente)
{FRANKS}							Francos
{HUNS}						Los hunos
{SARMATIANS}						Sármatas
{SASSANIDS}							Sasánidas
{SAXONS}							Los sajones
{VANDALS}							Vándalos
{GOTHS}							Los godos
{CELTS}							Celtas
{WHITE_HUNS}						Los hunos blancos
{OSTROGOTHS}						Ostrogodos
{ROMANO_BRITISH}					Britanorromanos
{SLAVS}								Eslavos
{MOORS}							Sarracenos
{BERBERS}							Bereberes

¬Culture Names
{ROMAN}					Romana
{BARBARIAN}					Bárbara
{CARTHAGINIAN}				Cartaginesa
{GREEK}					Griega
{EGYPTIAN}					Egipcia
{EASTERN}					Oriental
{NOMAD}					Nómada
{HUN}						Huna

{EMT_ROMANS_JULII_SPY}					Espía romano (Julios)
{EMT_ROMANS_JULII_ASSASSIN}					Asesino romano (Julios)
{EMT_ROMANS_JULII_DIPLOMAT}					Diplomático romano (Julios)
{EMT_ROMANS_JULII_ADMIRAL}					Armada romana (Julios)
{EMT_ROMANS_JULII_GENERAL}					Ejército romano (Julios)
{EMT_ROMANS_JULII_NAMED_CHARACTER}					Miembro de familia romana (Julios)
{EMT_ROMANS_BRUTII_SPY}					Espía romano (Brutos)
{EMT_ROMANS_BRUTII_ASSASSIN}					Asesino romano (Brutos)
{EMT_ROMANS_BRUTII_DIPLOMAT}					Diplomático romano (Brutos)
{EMT_ROMANS_BRUTII_ADMIRAL}					Armada romana (Brutos)
{EMT_ROMANS_BRUTII_GENERAL}					Ejército romano (Brutos)
{EMT_ROMANS_BRUTII_NAMED_CHARACTER}					Miembro de familia romana (Brutos)
{EMT_ROMANS_SCIPII_SPY}					Espía romano (Escipiones)
{EMT_ROMANS_SCIPII_ASSASSIN}					Asesino romano (Escipiones)
{EMT_ROMANS_SCIPII_DIPLOMAT}					Diplomático romano (Escipiones)
{EMT_ROMANS_SCIPII_ADMIRAL}					Armada romana (Escipiones)
{EMT_ROMANS_SCIPII_GENERAL}					Ejército romano (Escipiones)
{EMT_ROMANS_SCIPII_NAMED_CHARACTER}					Miembro de familia romana (Escipiones)
{EMT_ROMANS_SENATE_SPY}					Espía romano (Senado)
{EMT_ROMANS_SENATE_ASSASSIN}					Asesino romano (Senado)
{EMT_ROMANS_SENATE_DIPLOMAT}					Diplomático romano (Senado)
{EMT_ROMANS_SENATE_ADMIRAL}					Armada romana (Senado)
{EMT_ROMANS_SENATE_GENERAL}					Ejército romano (Senado)
{EMT_ROMANS_SENATE_NAMED_CHARACTER}					Miembro de familia romana (Senado)
{EMT_MACEDON_SPY}					Espía macedonio
{EMT_MACEDON_ASSASSIN}					Asesino macedonio
{EMT_MACEDON_DIPLOMAT}					Diplomático macedonio
{EMT_MACEDON_ADMIRAL}					Armada macedonia
{EMT_MACEDON_GENERAL}					Ejército macedonio
{EMT_MACEDON_NAMED_CHARACTER}					Miembro de familia macedonia
