¬ Names for regions and settlements in the imperial campaign
{Britannia_Inferior}		Britania inferior
{Tribus_Saxones}		Tribus sajonas
{Locus_Gepidae}			Tierra de los gépidos
{Hyperboria}			Hiperboria
{Tribus_Sakae}			Tribus sacas
{Hibernia}			Hibernia
{Tribus_Alanni}			Tribus alanas
{Tribus_Silurii}		Tribus silures
{Locus_Gothi}			Tierra de los godos
{Tribus_Sarmatae}		Tribus sármatas
{Britannia_Superior}		Britania superior
{Germania_Inferior}		Germania inferior
{Tribus_Chattii}		Tribus catas
{Pripet}			Pripet
{Regnum_Marcomannii}		Reino de los marcomanos
{Belgica}			Bélgica
{Maeotis}			Meótida
{Agri_Decumates}		Territorios decumates
{Armorica}			Armórica
{Germania_Superior}		Germania superior
{Boihaemum}			Boihemo
{Scythia}			Escitia
{Tribus_Iazyges}		Tribus iacigas
{Central_Gaul}			Galia central
{Dacia}				Dacia
{Noricum}			Nórica
{Tribus_Getae}			Tribus getas
{Pannonia}			Panonia
{Bosphorus}			Bósforo
{Aquitania}			Aquitania
{Lugdinensis}			Lugduno
{Colchis}			Cólquide
{Atropatene}			Atropatena
{Cisalpine_Gaul}		Galia Cisalpina
{Venetia}			Véneto
{Transalpine_Gaul}		Galia Transalpina
{Illyria}			Iliria
{Thrace}			Tracia
{Gallaecia}			Galecia
{Dalmatia}			Dalmacia
{Armenia}			Armenia
{Narbonensis}			Narbona
{Liguria}			Liguria
{Pontus}			Ponto
{Celtiberia}			Celtiberia
{Paionia}			Peonia
{Etruria}			Etruria
{Taraconenis}			Tarraco
{Umbria}			Umbría
{Media}				Media
{Lusitania}			Lusitania
{Sardinia}			Sardinia
{Latium}			Lacio
{Macedonia}			Macedonia
{Propontis}			Propóntide
{Bithynia}			Bicinia
{Galatia}			Galacia
{Cappadocia}			Capadocia
{Hispania}			Hispania
{Epirus}			Epiro
{Apulia}			Apulia
{Campania}			Campania
{Assyria}			Asiria
{Baetica}			Bética
{Phrygia}			Frigia
{Cilicia}			Cilicia
{Thessalia}			Tesalia
{Baliares}			Baliares
{Bruttium}			Brutia
{Ionia}				Jonia
{Syria}				Siria
{Babylonia}			Babilonia
{Aetolia}			Etolia
{Attica}			Ática
{Elymais}			Elimea
{Peloponnesus}			Peloponeso
{Lycia}				Licia
{Sicilia_Romanus}		Sicilia romana
{Sicilia_Poeni}			Sicilia fenicia
{Mauretania}			Mauritania
{Regnum_Palmyrae}		Reino de Palmira
{Cyprus}			Chipre
{Phoenicia}			Fenicia
{Numidia}			Numidia
{Africa}			África
{Sicilia_Graecus}		Sicilia griega
{Laconia}			Laconia
{Coele_Syria}			Cele-Siria
{Rhodos}			Rodas
{Arabia}			Arabia
{Byzacium}			Bizacena
{Crete}				Creta
{Nabataea}			Nabatea
{Judaea}			Judea
{Gaetulia}			Getulia
{Tripolitania}			Tripolitania
{Cyrenaica}			Cirenaica
{Nile_Delta}			Delta del Nilo
{Sinai}				Sinaí
{Libya}				Libia
{Middle_Egypt}			Egipto Medio
{Sahara}			Sáhara
{Thebais}			Tebas
{Eburacum}			Eburaco
{Bordesholm}			Bordesholm
{Domus_Dulcis_Domus}		Hogar dulce hogar
{Themiskyra}			Temiscira
{Campus_Sakae}			Campo saca
{Tara}				Tara
{Campus_Alanni}			Campo alano
{Deva}				Deva
{Vicus_Gothi}			Villa goda
{Campus_Sarmatae}		Campo sármata
{Londinium}			Londino
{Batavodurum}			Batavia
{Damme}				Dame
{Vicus_Venedae}			Villa veneda
{Vicus_Marcomannii}		Villa marcomana
{Samarobriva}			Samarobriva
{Tanais}			Tanais
{Mogontiacum}			Maguncia
{Condate_Redonum}		Condate de los redones
{Trier}				Trier
{Lovosice}			Lovosice
{Campus_Scythii}		Campo escita
{Campus_Iazyges}		Campo iaciga
{Alesia}			Alesia
{Porrolissum}			Porolissum
{Iuvavum}			Iuvavo
{Campus_Getae}			Campo geta
{Aquincum}			Aquincum
{Chersonesos}			Chersonesus
{Lemonum}			Lemonum
{Lugdunum}			Lugduno
{Kotais}			Kotais
{Phraaspa}			Fraaspa
{Mediolanium}			Mediolano
{Patavium}			Patavio
{Massilia}			Masalia
{Segestica}			Segestica
{Tylis}				Tilis
{Asturica}			Asturica
{Salona}			Salona
{Artaxarta}			Artaxarta
{Narbo_Martius}			Narbo Martius
{Segesta}			Segesta
{Sinope}			Sínope
{Numantia}			Numancia
{Bylazora}			Bilazora
{Arretium}			Arretio
{Osca}				Osca
{Ariminum}			Arimino
{Arsakia}			Arsacia
{Scallabis}			Scallabis
{Caralis}			Calaris
{Roma}				Roma
{Thessalonica}			Tesalónica
{Byzantium}			Bizancio
{Nicomedia}			Nicomedia
{Ancyra}			Ancira
{Mazaka}			Mazaca
{Carthago_Nova}			Cartago Nova
{Apollonia}			Apolonia
{Tarentum}			Tarento
{Capua}				Capua
{Hatra}				Hatra
{Corduba}			Corduba
{Pergamum}			Pérgamo
{Tarsus}			Tarso
{Larissa}			Larisa
{Palma}				Palma
{Croton}			Crotona
{Sardis}			Sardo
{Antioch}			Antioquía
{Seleucia}			Seleucia
{Thermon}			Termón
{Athens}			Atenas
{Susa}				Susa
{Corinth}			Corintio
{Halicarnasus}			Halicarnaso
{Messana}			Mesana
{Lilybaeum}			Lilibeo
{Tingi}				Tingis
{Palmyra}			Palmira
{Salamis}			Salamina
{Sidon}				Sidón
{Cirta}				Cirta
{Carthage}			Cartago
{Syracuse}			Siracusa
{Sparta}			Esparta
{Damascus}			Damasco
{Rhodes}			Rodas
{Dumatha}			Dumah
{Thapsus}			Tapso
{Kydonia}			Cidonia
{Bostra}			Bostra
{Jerusalem}			Jerusalén
{Dimmidi}			Dimmidi
{Lepcis_Magna}			Lepcis Magna
{Cyrene}			Cirene
{Alexandria}			Alejandría
{Petra}				Petra
{Siwa}				Siwa
{Memphis}			Menfis
{Nepte}				Nepte
{Thebes}			Tebas

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 29/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{Rome}			Roma


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
