¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Romano
{SMT_CULTURE_BARBARIAN}			Bárbaro
{SMT_CULTURE_CARTHAGE}				Cartaginés
{SMT_CULTURE_GREEK}				Griego
{SMT_CULTURE_EGYPT}				Egipcio
{SMT_CULTURE_EASTERN}				Oriental
{SMT_END_TURN}					Terminar turno
{SMT_SABOTAGE}					Sabotaje
{SMT_ASSASSINATE}				Asesinato
{SMT_SETTLEMENTS}				Enclaves
{SMT_CAPITAL}					Capital
{SMT_ALLIES}					Aliados
{SMT_ENEMIES}					Enemigos
{SMT_SUSPICIOUS}				Suspicaz
{SMT_NEUTRAL}					Neutral
{SMT_HOSTILE}					Hostil
{SMT_AT_WAR}					En guerra
{SMT_NIGHT_ATTACK}				Intentar un ataque nocturno
{SMT_TRADE_RIGHTS}				Derechos de comercio
{SMT_SIEGE}					Mantener el asedio
{SMT_ASSAULT}					Asaltar
{SMT_END_SIEGE}					Romper el asedio
{SMT_AGE}					Edad
{SMT_LOYALTY}					Lealtad
{SMT_GOVERNOR}					Gobernante
{SMT_GARRISON}					Guarnición
{SMT_RECRUITMENT_COST}				Coste del reclutamiento:
{SMT_RECRUITMENT_TIME}				Tiempo de reclutamiento:
{SMT_RETRAIN_TIME}				Tiempo para volver a instruir:
{SMT_RETRAIN_COST}				Coste de volver a instruir:
{SMT_FIGHT_BATTLE}				Librar la batalla sobre el mapa de batalla
{SMT_WITHDRAW}				Retirarse del combate
{SMT_AUTORESOLVE}				Decidir la batalla automáticamente
{SMT_DISBAND}					Licenciar unidad\nLas unidades terrestres solo pueden licenciarse en una región patria, y las marítimas, solo en un puerto\nLas unidades de un general no pueden licenciarse.
{SMT_DOCTOR_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_QUARTERMASTER_DESCR}			THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_PRIEST_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_SCOUT_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_ENGINEER_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_SPY_DESCR}				Un espía averigua información sobre las facciones rivales. Puede ser empleado para reunir datos acerca de ciudades, ejércitos y personajes del adversario. Cuanto más tiempo se mantenga en su puesto de espía, más información obtendrá. También puede sembrar el descontento en los enclaves del rival y, si está dentro de una ciudad asediada por los de su propia facción, ¡les abrirá las puertas!
{SMT_ASSASSIN_DESCR}				A veces, un único cuchillo puede ser más efectivo en la práctica que mil espadas, si se clava en los órganos vitales de la persona apropiada. Un asesino es una forma de convertir la política y la guerra en algo muy personal, pues sus objetivos son los líderes y personajes relevantes de una facción. Las posibilidades de éxito de un asesino dependen de su habilidad, la importancia de su objetivo y, quizá, de tener algo de suerte.
{SMT_DIPLOMAT_DESCR}				Un diplomático es un individuo entrenado en el arte de la adulación, el engatusamiento, las buenas palabras y, a veces, en intimidar a los que se envía a negociar con facciones rivales. Su trabajo consiste en cerrar tratos, cimentar los acuerdos de paz e, incluso, pedir la rendición. Los diplomáticos también son los ojos y oídos de sus facciones allá donde van.
{SMT_ADMIRAL_DESCR}				Un almirante es un comandante inferior a cargo de una flota. Su talento y habilidad pueden ser útiles durante las batallas navales y permitir que la flota navegue de forma segura. Todas las flotas tienen un almirante permanentemente asignado a su mando.
